特效ID,注释,"作用对象(0.全体,1.目标,2.目标方全体,3.目标方随机单体,4，目标方随机2人，5.目标方随机3人，6.目标方随机4人，11.释放者,12.释放者方全体,13.释放者方随机单体,14. 释放者方目标单体 其它.特殊规则待扩展)",BUFF时机（1.施放技能前，2.施放技能后，3.进入战斗回合，4.死亡时）,"触发条件(-1.击中目标时,-2.没击中目标时,0.一定触发,1-100.概率触发)","效果持续回合(-2.失去目标前有效,-1.当前战斗结束前有效,0.使用完立刻失效,>0.轮到作用对象行动时减1回合，减到0则效果消失)",每减少一个回合时触发的效果，引用本表id,效果结束时触发的效果，0则不触发任何效果，引用本表id(例如预知未来),类别ID,"同效果叠加(0:新生成,1:回合相加,2:无效,3:覆盖,4:同类型叠加,5:同类型无效,6:同类型覆盖)","效果类型(1正面效果,2负面效果)",效果(说明文字，程序不用),效果的持续特效资源,物攻提升百分比,物防提升百分比,特攻提升百分比,特防提升百分比,速度提升百分比,命中提升百分比,闪避提升百分比,暴击率提升百分比,暴击伤害提升百分比,最终伤害提升百分比,回复（释放者）物攻值百分比的生命值,回复（释放者）特攻值百分比的生命值,回复（释放者）生命上限百分比的生命值,回复（释放者）当前生命值百分比的生命值,回复（目标）物攻值百分比的生命值,回复（目标）特攻值百分比的生命值,回复（目标）生命上限百分比的生命值,回复（目标）当前生命值百分比的生命值,回复造成伤害百分比的生命值,随机使用技能,随机攻击目标,不能行动,解除所有负面效果,恢复SP,火系技能威力提升百分比,水系技能威力提升百分比,草系技能威力提升百分比,妖系技能威力提升百分比,恶系技能威力提升百分比,龙系技能威力提升百分比,冰系技能威力百分比,鬼系技能威力百分比,普通系技能威力,电系技能威力,虫系技能威力,飞行系技能威力,地面系技能威力,岩石系技能威力,格斗系技能威力,超能系技能威力,钢系技能威力,毒系技能威力,物理系技能威力提升百分比,特攻系技能威力提升百分比
58904,4,1,2,0,0,,,89,5,1,单治80,,,,,,,,,,,,,,,,,,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,
58905,5,1,2,0,0,,,89,5,1,单治80,,,,,,,,,,,,,,,,,,0.346,,,,,,,,,,,,,,,,,,,,,,,,,,,
58906,6,1,2,0,0,,,89,5,1,单治80,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
58907,7,1,2,0,0,,,89,5,1,单治80,,,,,,,,,,,,,,,,,,0.374,,,,,,,,,,,,,,,,,,,,,,,,,,,
58908,8,1,2,0,0,,,89,5,1,单治80,,,,,,,,,,,,,,,,,,0.389,,,,,,,,,,,,,,,,,,,,,,,,,,,
58909,9,1,2,0,0,,,89,5,1,单治80,,,,,,,,,,,,,,,,,,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,
58910,10,1,2,0,0,,,89,5,1,单治80,,,,,,,,,,,,,,,,,,0.418,,,,,,,,,,,,,,,,,,,,,,,,,,,
59101,1,1,2,0,0,,,91,5,1,群治50,,,,,,,,,,,,,,,,,,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,
59102,2,1,2,0,0,,,91,5,1,群治50,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
59103,3,1,2,0,0,,,91,5,1,群治50,,,,,,,,,,,,,,,,,,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,
59104,4,1,2,0,0,,,91,5,1,群治50,,,,,,,,,,,,,,,,,,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,
59105,5,1,2,0,0,,,91,5,1,群治50,,,,,,,,,,,,,,,,,,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,,
59106,6,1,2,0,0,,,91,5,1,群治50,,,,,,,,,,,,,,,,,,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,
59107,7,1,2,0,0,,,91,5,1,群治50,,,,,,,,,,,,,,,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,
59108,8,1,2,0,0,,,91,5,1,群治50,,,,,,,,,,,,,,,,,,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,
59109,9,1,2,0,0,,,91,5,1,群治50,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
59110,10,1,2,0,0,,,91,5,1,群治50,,,,,,,,,,,,,,,,,,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,
59201,1,1,2,0,0,,,92,5,1,群治55,,,,,,,,,,,,,,,,,,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,
59202,2,1,2,0,0,,,92,5,1,群治55,,,,,,,,,,,,,,,,,,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,
59203,3,1,2,0,0,,,92,5,1,群治55,,,,,,,,,,,,,,,,,,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,
59204,4,1,2,0,0,,,92,5,1,群治55,,,,,,,,,,,,,,,,,,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,
59205,5,1,2,0,0,,,92,5,1,群治55,,,,,,,,,,,,,,,,,,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,
59206,6,1,2,0,0,,,92,5,1,群治55,,,,,,,,,,,,,,,,,,0.118,,,,,,,,,,,,,,,,,,,,,,,,,,,
59207,7,1,2,0,0,,,92,5,1,群治55,,,,,,,,,,,,,,,,,,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,
59208,8,1,2,0,0,,,92,5,1,群治55,,,,,,,,,,,,,,,,,,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,
59209,9,1,2,0,0,,,92,5,1,群治55,,,,,,,,,,,,,,,,,,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,
59210,10,1,2,0,0,,,92,5,1,群治55,,,,,,,,,,,,,,,,,,0.137,,,,,,,,,,,,,,,,,,,,,,,,,,,
59301,1,1,2,0,0,,,93,5,1,群治60,,,,,,,,,,,,,,,,,,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,,
59302,2,1,2,0,0,,,93,5,1,群治60,,,,,,,,,,,,,,,,,,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,
59303,3,1,2,0,0,,,93,5,1,群治60,,,,,,,,,,,,,,,,,,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,
59304,4,1,2,0,0,,,93,5,1,群治60,,,,,,,,,,,,,,,,,,0.118,,,,,,,,,,,,,,,,,,,,,,,,,,,
59305,5,1,2,0,0,,,93,5,1,群治60,,,,,,,,,,,,,,,,,,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,
59306,6,1,2,0,0,,,93,5,1,群治60,,,,,,,,,,,,,,,,,,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,
59307,7,1,2,0,0,,,93,5,1,群治60,,,,,,,,,,,,,,,,,,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,
59308,8,1,2,0,0,,,93,5,1,群治60,,,,,,,,,,,,,,,,,,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,
59309,9,1,2,0,0,,,93,5,1,群治60,,,,,,,,,,,,,,,,,,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,
59310,10,1,2,0,0,,,93,5,1,群治60,,,,,,,,,,,,,,,,,,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,
59401,1,1,2,0,0,,,94,5,1,群治65,,,,,,,,,,,,,,,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,
59402,2,1,2,0,0,,,94,5,1,群治65,,,,,,,,,,,,,,,,,,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,
59403,3,1,2,0,0,,,94,5,1,群治65,,,,,,,,,,,,,,,,,,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,
59404,4,1,2,0,0,,,94,5,1,群治65,,,,,,,,,,,,,,,,,,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,
59405,5,1,2,0,0,,,94,5,1,群治65,,,,,,,,,,,,,,,,,,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,
59406,6,1,2,0,0,,,94,5,1,群治65,,,,,,,,,,,,,,,,,,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,
59407,7,1,2,0,0,,,94,5,1,群治65,,,,,,,,,,,,,,,,,,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,
59408,8,1,2,0,0,,,94,5,1,群治65,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
59409,9,1,2,0,0,,,94,5,1,群治65,,,,,,,,,,,,,,,,,,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,
59410,10,1,2,0,0,,,94,5,1,群治65,,,,,,,,,,,,,,,,,,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,
59501,1,1,2,0,0,,,95,5,1,群治70,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
59502,2,1,2,0,0,,,95,5,1,群治70,,,,,,,,,,,,,,,,,,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,
59503,3,1,2,0,0,,,95,5,1,群治70,,,,,,,,,,,,,,,,,,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,
59504,4,1,2,0,0,,,95,5,1,群治70,,,,,,,,,,,,,,,,,,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,
59505,5,1,2,0,0,,,95,5,1,群治70,,,,,,,,,,,,,,,,,,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,
59506,6,1,2,0,0,,,95,5,1,群治70,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
59507,7,1,2,0,0,,,95,5,1,群治70,,,,,,,,,,,,,,,,,,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,
59508,8,1,2,0,0,,,95,5,1,群治70,,,,,,,,,,,,,,,,,,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,
59509,9,1,2,0,0,,,95,5,1,群治70,,,,,,,,,,,,,,,,,,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,
59510,10,1,2,0,0,,,95,5,1,群治70,,,,,,,,,,,,,,,,,,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,
59601,1,1,2,0,0,,,96,5,1,群治75,,,,,,,,,,,,,,,,,,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,
59602,2,1,2,0,0,,,96,5,1,群治75,,,,,,,,,,,,,,,,,,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,
59603,3,1,2,0,0,,,96,5,1,群治75,,,,,,,,,,,,,,,,,,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,
59604,4,1,2,0,0,,,96,5,1,群治75,,,,,,,,,,,,,,,,,,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,
59605,5,1,2,0,0,,,96,5,1,群治75,,,,,,,,,,,,,,,,,,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,
59606,6,1,2,0,0,,,96,5,1,群治75,,,,,,,,,,,,,,,,,,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,
59607,7,1,2,0,0,,,96,5,1,群治75,,,,,,,,,,,,,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,
59608,8,1,2,0,0,,,96,5,1,群治75,,,,,,,,,,,,,,,,,,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,
59609,9,1,2,0,0,,,96,5,1,群治75,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
59610,10,1,2,0,0,,,96,5,1,群治75,,,,,,,,,,,,,,,,,,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,
59701,1,1,2,0,0,,,97,5,1,群治80,,,,,,,,,,,,,,,,,,0.137,,,,,,,,,,,,,,,,,,,,,,,,,,,
59702,2,1,2,0,0,,,97,5,1,群治80,,,,,,,,,,,,,,,,,,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,
59703,3,1,2,0,0,,,97,5,1,群治80,,,,,,,,,,,,,,,,,,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,
59704,4,1,2,0,0,,,97,5,1,群治80,,,,,,,,,,,,,,,,,,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,
59705,5,1,2,0,0,,,97,5,1,群治80,,,,,,,,,,,,,,,,,,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,
59706,6,1,2,0,0,,,97,5,1,群治80,,,,,,,,,,,,,,,,,,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,
59707,7,1,2,0,0,,,97,5,1,群治80,,,,,,,,,,,,,,,,,,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,
59708,8,1,2,0,0,,,97,5,1,群治80,,,,,,,,,,,,,,,,,,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,
59709,9,1,2,0,0,,,97,5,1,群治80,,,,,,,,,,,,,,,,,,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,
59710,10,1,2,0,0,,,97,5,1,群治80,,,,,,,,,,,,,,,,,,0.199,,,,,,,,,,,,,,,,,,,,,,,,,,,
410101,天赋特性,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410102,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410103,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410104,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410105,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410201,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410202,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410203,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410204,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410205,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410301,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410302,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410303,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410304,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410305,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410401,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410402,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410403,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410404,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410405,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410501,1,-1,,-1,2,,,,2,1,双防提升,,,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410502,1,-1,,-1,2,,,,2,1,双防提升,,,0.15,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410503,1,-1,,-1,2,,,,2,1,双防提升,,,0.18,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410504,1,-1,,-1,2,,,,2,1,双防提升,,,0.21,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410505,1,-1,,-1,2,,,,2,1,双防提升,,,0.24,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410601,1,-1,,8,2,,,,3,2,麻痹（不能行动）,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
410602,1,-1,,10,2,,,,3,2,麻痹（不能行动）,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
410603,1,-1,,12,2,,,,3,2,麻痹（不能行动）,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
410604,1,-1,,14,2,,,,3,2,麻痹（不能行动）,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
410605,1,-1,,16,2,,,,3,2,麻痹（不能行动）,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
410701,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410702,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410703,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410704,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410705,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410801,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410802,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410803,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410804,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410805,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410901,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410902,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410903,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410904,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410905,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411001,1,-1,,-1,2,,,,2,2,,,,,,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411002,1,-1,,-1,2,,,,2,2,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411003,1,-1,,-1,2,,,,2,2,,,,,,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411004,1,-1,,-1,2,,,,2,2,,,,,,,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411005,1,-1,,-1,2,,,,2,2,,,,,,,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411101,0,-1,,-1,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411102,0,-1,,-1,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411103,0,-1,,-1,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411104,0,-1,,-1,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411105,0,-1,,-1,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411201,1,-1,,-1,2,,,,2,1,,,0.06,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411202,1,-1,,-1,2,,,,2,1,,,0.08,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411203,1,-1,,-1,2,,,,2,1,,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411204,1,-1,,-1,2,,,,2,1,,,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411205,1,-1,,-1,2,,,,2,1,,,0.14,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411301,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411302,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411303,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411304,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411305,0,-1,,-1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411401,2,-1,,-1,2,,,,3,2,睡眠（不能行动且每回合回复最大生命值上限的生命值,6,,,,,,,,,,,,,0.01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
411402,2,-1,,-1,2,,,,3,2,睡眠（不能行动且每回合回复最大生命值上限的生命值,6,,,,,,,,,,,,,0.01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
411403,2,-1,,-1,2,,,,3,2,睡眠（不能行动且每回合回复最大生命值上限的生命值,6,,,,,,,,,,,,,0.01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
411404,2,-1,,-1,2,,,,3,2,睡眠（不能行动且每回合回复最大生命值上限的生命值,6,,,,,,,,,,,,,0.01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
411405,2,-1,,-1,2,,,,3,2,睡眠（不能行动且每回合回复最大生命值上限的生命值,6,,,,,,,,,,,,,0.01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
411411,2,-1,,-1,2,,,,3,2,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411412,2,-1,,-1,2,,,,3,2,,,,,,,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411413,2,-1,,-1,2,,,,3,2,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411414,2,-1,,-1,2,,,,3,2,,,,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411415,2,-1,,-1,2,,,,3,2,,,,,,,,,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411501,1,-1,,6,2,,,,3,2,麻痹（不能行动）,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
411502,1,-1,,8,2,,,,3,2,麻痹（不能行动）,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
411503,1,-1,,10,2,,,,3,2,麻痹（不能行动）,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
411504,1,-1,,12,2,,,,3,2,麻痹（不能行动）,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
411505,1,-1,,14,2,,,,3,2,麻痹（不能行动）,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
411601,1,-1,,-1,-1,,,,3,1,,,0.06,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411602,1,-1,,-1,-1,,,,3,1,,,0.09,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411603,1,-1,,-1,-1,,,,3,1,,,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411604,1,-1,,-1,-1,,,,3,1,,,0.15,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411605,1,-1,,-1,-1,,,,3,1,,,0.18,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411701,1,-1,,-1,0,,,,3,1,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411702,1,-1,,-1,0,,,,3,1,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411703,1,-1,,-1,0,,,,3,1,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411704,1,-1,,-1,0,,,,3,1,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411705,1,-1,,-1,0,,,,3,1,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411801,1,-1,,-1,0,,,,3,1,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411802,1,-1,,-1,0,,,,3,1,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411803,1,-1,,-1,0,,,,3,1,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411804,1,-1,,-1,0,,,,3,1,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411805,1,-1,,-1,0,,,,3,1,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411901,1,-1,,-1,0,,,,3,1,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411902,1,-1,,-1,0,,,,3,1,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411903,1,-1,,-1,0,,,,3,1,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411904,1,-1,,-1,0,,,,3,1,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411905,1,-1,,-1,0,,,,3,1,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412001,1,-1,,-1,-1,,,,3,1,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412002,1,-1,,-1,-1,,,,3,1,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412003,1,-1,,-1,-1,,,,3,1,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412004,1,-1,,-1,-1,,,,3,1,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
