技能,技能图标,技能名字,注释,注释2,伤害类型（默认0.物理伤害 1.特殊伤害 ）,技能分类（1:单体伤害，2：群体伤害，3：单体治疗，4：群体治疗，5：变化，6弹射，7连击）,威力,命中,技能能量,属性ID（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼 9.普通 10.电 11.虫 12.飞行 13.地面 14.岩石 15.格斗 16.超能 17.钢系 18.毒,技能描述,效果注释（不用处理，策划看）,触发效果(|分割),"作用对象(0.全体,1.目标,2.目标方全体,3.目标方随机单体,4.目标方1人+随机1人，5目标方1人+随机2人，6.目标方1人+随机3人，7目标放1人+随机4人.8.连击1次，9连击2次.10连击3次.11.释放者,12.释放者方全体,13.释放者方随机单体,14.释放者方目标单体 其它.特殊规则待扩展)",蓄力动画,释放时播放在释放者身上的特效资源（群体特效）,释放时从释放者飞向目标的特效资源,释放后播放在目标身上的特效资源，若有resFly，则需要飞行特效飞行到目标身上后播放此特效（单体特效）,"抖屏(0:抖,1:不抖)",释放后的音效资源,释放后技能背景资源,释放后出技能名,每场战斗使用次数限制,"是否预览（1是,2否）"
4085502,2016,幽灵影风·LV2,群特,,1,2,58,1,55,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4085503,2016,幽灵影风·LV3,群特,,1,2,61,1,55,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4085504,2016,幽灵影风·LV4,群特,,1,2,63,1,55,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4085505,2016,幽灵影风·LV5,群特,,1,2,66,1,55,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4085506,2016,幽灵影风·LV6,群特,,1,2,69,1,55,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4085507,2016,幽灵影风·LV7,群特,,1,2,79,1,55,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4085508,2016,幽灵影风·LV8,群特,,1,2,81,1,55,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4085509,2016,幽灵影风·LV9,群特,,1,2,85,1,55,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4085510,2016,幽灵影风·LV10,群特,,1,2,96,1,55,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4086001,2016,幽灵影风·LV1,群特,,1,2,60,1,60,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4086002,2016,幽灵影风·LV2,群特,,1,2,63,1,60,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4086003,2016,幽灵影风·LV3,群特,,1,2,66,1,60,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4086004,2016,幽灵影风·LV4,群特,,1,2,69,1,60,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4086005,2016,幽灵影风·LV5,群特,,1,2,72,1,60,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4086006,2016,幽灵影风·LV6,群特,,1,2,75,1,60,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4086007,2016,幽灵影风·LV7,群特,,1,2,86,1,60,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4086008,2016,幽灵影风·LV8,群特,,1,2,89,1,60,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4086009,2016,幽灵影风·LV9,群特,,1,2,92,1,60,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4086010,2016,幽灵影风·LV10,群特,,1,2,104,1,60,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4086501,2016,幽灵影风·LV1,群特,,1,2,65,1,65,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4086502,2016,幽灵影风·LV2,群特,,1,2,68,1,65,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4086503,2016,幽灵影风·LV3,群特,,1,2,72,1,65,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4086504,2016,幽灵影风·LV4,群特,,1,2,75,1,65,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4086505,2016,幽灵影风·LV5,群特,,1,2,78,1,65,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4086506,2016,幽灵影风·LV6,群特,,1,2,81,1,65,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4086507,2016,幽灵影风·LV7,群特,,1,2,94,1,65,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4086508,2016,幽灵影风·LV8,群特,,1,2,97,1,65,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4086509,2016,幽灵影风·LV9,群特,,1,2,100,1,65,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,2
4086510,2016,幽灵影风·LV10,群特,,1,2,113,1,65,8,"使用幽灵的身躯穿过敌人,攻击3个敌人,造成特殊伤害",,,5,4,51,,,0,shouji03,1,1,,1
4087001,2014,潜灵奇袭·LV1,群特,,1,2,70,1,70,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4087002,2014,潜灵奇袭·LV2,群特,,1,2,74,1,70,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4087003,2014,潜灵奇袭·LV3,群特,,1,2,77,1,70,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4087004,2014,潜灵奇袭·LV4,群特,,1,2,81,1,70,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4087005,2014,潜灵奇袭·LV5,群特,,1,2,84,1,70,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4087006,2014,潜灵奇袭·LV6,群特,,1,2,88,1,70,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4087007,2014,潜灵奇袭·LV7,群特,,1,2,100,1,70,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4087008,2014,潜灵奇袭·LV8,群特,,1,2,105,1,70,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4087009,2014,潜灵奇袭·LV9,群特,,1,2,108,1,70,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4087010,2014,潜灵奇袭·LV10,群特,,1,2,122,1,70,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4087501,2014,潜灵奇袭·LV1,群特,,1,2,75,1,75,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4087502,2014,潜灵奇袭·LV2,群特,,1,2,79,1,75,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4087503,2014,潜灵奇袭·LV3,群特,,1,2,83,1,75,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4087504,2014,潜灵奇袭·LV4,群特,,1,2,86,1,75,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4087505,2014,潜灵奇袭·LV5,群特,,1,2,90,1,75,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4087506,2014,潜灵奇袭·LV6,群特,,1,2,94,1,75,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4087507,2014,潜灵奇袭·LV7,群特,,1,2,108,1,75,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4087508,2014,潜灵奇袭·LV8,群特,,1,2,111,1,75,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4087509,2014,潜灵奇袭·LV9,群特,,1,2,116,1,75,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4087510,2014,潜灵奇袭·LV10,群特,,1,2,131,1,75,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4088001,2014,潜灵奇袭·LV1,群特,,1,2,80,1,80,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4088002,2014,潜灵奇袭·LV2,群特,,1,2,84,1,80,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4088003,2014,潜灵奇袭·LV3,群特,,1,2,88,1,80,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4088004,2014,潜灵奇袭·LV4,群特,,1,2,92,1,80,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4088005,2014,潜灵奇袭·LV5,群特,,1,2,96,1,80,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4088006,2014,潜灵奇袭·LV6,群特,,1,2,100,1,80,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4088007,2014,潜灵奇袭·LV7,群特,,1,2,114,1,80,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4088008,2014,潜灵奇袭·LV8,群特,,1,2,119,1,80,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4088009,2014,潜灵奇袭·LV9,群特,,1,2,123,1,80,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4088010,2014,潜灵奇袭·LV10,群特,,1,2,139,1,80,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4088501,2014,潜灵奇袭·LV1,群特,,1,2,85,1,85,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4088502,2014,潜灵奇袭·LV2,群特,,1,2,89,1,85,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4088503,2014,潜灵奇袭·LV3,群特,,1,2,94,1,85,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4088504,2014,潜灵奇袭·LV4,群特,,1,2,98,1,85,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4088505,2014,潜灵奇袭·LV5,群特,,1,2,102,1,85,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4088506,2014,潜灵奇袭·LV6,群特,,1,2,106,1,85,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4088507,2014,潜灵奇袭·LV7,群特,,1,2,122,1,85,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4088508,2014,潜灵奇袭·LV8,群特,,1,2,127,1,85,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4088509,2014,潜灵奇袭·LV9,群特,,1,2,131,1,85,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,2
4088510,2014,潜灵奇袭·LV10,群特,,1,2,148,1,85,8,"隐匿在敌方身后,随后突然出现攻击3个敌人,造成特殊伤害",,,5,4,,,50,1,shouji03,,1,,1
4094001,2109,音爆·LV1,群特,,1,6,40,1,40,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4094002,2109,音爆·LV2,群特,,1,6,42,1,40,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4094003,2109,音爆·LV3,群特,,1,6,44,1,40,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4094004,2109,音爆·LV4,群特,,1,6,46,1,40,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4094005,2109,音爆·LV5,群特,,1,6,48,1,40,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4094006,2109,音爆·LV6,群特,,1,6,50,1,40,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4094007,2109,音爆·LV7,群特,,1,6,57,1,40,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4094008,2109,音爆·LV8,群特,,1,6,59,1,40,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4094009,2109,音爆·LV9,群特,,1,6,62,1,40,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4094010,2109,音爆·LV10,群特,,1,6,70,1,40,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4094501,2109,音爆·LV1,群特,,1,6,45,1,45,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4094502,2109,音爆·LV2,群特,,1,6,47,1,45,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4094503,2109,音爆·LV3,群特,,1,6,50,1,45,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4094504,2109,音爆·LV4,群特,,1,6,52,1,45,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4094505,2109,音爆·LV5,群特,,1,6,54,1,45,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4094506,2109,音爆·LV6,群特,,1,6,56,1,45,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4094507,2109,音爆·LV7,群特,,1,6,65,1,45,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4094508,2109,音爆·LV8,群特,,1,6,67,1,45,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4094509,2109,音爆·LV9,群特,,1,6,69,1,45,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4094510,2109,音爆·LV10,群特,,1,6,78,1,45,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4095001,2109,音爆·LV1,群特,,1,2,50,1,50,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4095002,2109,音爆·LV2,群特,,1,2,53,1,50,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4095003,2109,音爆·LV3,群特,,1,2,55,1,50,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4095004,2109,音爆·LV4,群特,,1,2,58,1,50,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4095005,2109,音爆·LV5,群特,,1,2,60,1,50,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4095006,2109,音爆·LV6,群特,,1,2,63,1,50,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4095007,2109,音爆·LV7,群特,,1,2,72,1,50,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4095008,2109,音爆·LV8,群特,,1,2,75,1,50,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4095009,2109,音爆·LV9,群特,,1,2,77,1,50,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,2
4095010,2109,音爆·LV10,群特,,1,2,88,1,50,9,"使用声音爆炸攻击3个敌人,造成特殊伤害",,,5,7,58,,,0,shouji05,1,,,1
4095501,2116,巨声·LV1,群特,,1,2,55,1,55,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4095502,2116,巨声·LV2,群特,,1,2,58,1,55,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4095503,2116,巨声·LV3,群特,,1,2,61,1,55,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4095504,2116,巨声·LV4,群特,,1,2,63,1,55,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4095505,2116,巨声·LV5,群特,,1,2,66,1,55,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4095506,2116,巨声·LV6,群特,,1,2,69,1,55,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4095507,2116,巨声·LV7,群特,,1,2,79,1,55,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4095508,2116,巨声·LV8,群特,,1,2,81,1,55,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4095509,2116,巨声·LV9,群特,,1,2,85,1,55,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4095510,2116,巨声·LV10,群特,,1,2,96,1,55,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4096001,2116,巨声·LV1,群特,,1,2,60,1,60,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4096002,2116,巨声·LV2,群特,,1,2,63,1,60,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4096003,2116,巨声·LV3,群特,,1,2,66,1,60,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4096004,2116,巨声·LV4,群特,,1,2,69,1,60,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4096005,2116,巨声·LV5,群特,,1,2,72,1,60,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4096006,2116,巨声·LV6,群特,,1,2,75,1,60,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4096007,2116,巨声·LV7,群特,,1,2,86,1,60,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4096008,2116,巨声·LV8,群特,,1,2,89,1,60,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4096009,2116,巨声·LV9,群特,,1,2,92,1,60,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4096010,2116,巨声·LV10,群特,,1,2,104,1,60,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4096501,2116,巨声·LV1,群特,,1,2,65,1,65,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4096502,2116,巨声·LV2,群特,,1,2,68,1,65,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4096503,2116,巨声·LV3,群特,,1,2,72,1,65,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4096504,2116,巨声·LV4,群特,,1,2,75,1,65,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4096505,2116,巨声·LV5,群特,,1,2,78,1,65,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4096506,2116,巨声·LV6,群特,,1,2,81,1,65,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4096507,2116,巨声·LV7,群特,,1,2,94,1,65,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4096508,2116,巨声·LV8,群特,,1,2,97,1,65,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4096509,2116,巨声·LV9,群特,,1,2,100,1,65,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,2
4096510,2116,巨声·LV10,群特,,1,2,113,1,65,9,"发出巨大的声响攻击3个敌人,造成特殊伤害",,,5,,54,,,1,shouji05,,,,1
4097001,2117,爆音波·LV1,群特,,1,2,70,1,70,9,"通过震耳欲聋的爆炸声产生的破坏力攻击3个敌人,造成特殊伤害",,,5,7,62,,,1,shouji05,,,,2
4097002,2117,爆音波·LV2,群特,,1,2,74,1,70,9,"通过震耳欲聋的爆炸声产生的破坏力攻击3个敌人,造成特殊伤害",,,5,7,62,,,1,shouji05,,1,,2
4097003,2117,爆音波·LV3,群特,,1,2,77,1,70,9,"通过震耳欲聋的爆炸声产生的破坏力攻击3个敌人,造成特殊伤害",,,5,7,62,,,1,shouji05,,1,,2
4097004,2117,爆音波·LV4,群特,,1,2,81,1,70,9,"通过震耳欲聋的爆炸声产生的破坏力攻击3个敌人,造成特殊伤害",,,5,7,62,,,1,shouji05,,1,,2
4097005,2117,爆音波·LV5,群特,,1,2,84,1,70,9,"通过震耳欲聋的爆炸声产生的破坏力攻击3个敌人,造成特殊伤害",,,5,7,62,,,1,shouji05,,1,,2
4097006,2117,爆音波·LV6,群特,,1,2,88,1,70,9,"通过震耳欲聋的爆炸声产生的破坏力攻击3个敌人,造成特殊伤害",,,5,7,62,,,1,shouji05,,1,,2
4097007,2117,爆音波·LV7,群特,,1,2,100,1,70,9,"通过震耳欲聋的爆炸声产生的破坏力攻击3个敌人,造成特殊伤害",,,5,7,62,,,1,shouji05,,1,,2
4097008,2117,爆音波·LV8,群特,,1,2,105,1,70,9,"通过震耳欲聋的爆炸声产生的破坏力攻击3个敌人,造成特殊伤害",,,5,7,62,,,1,shouji05,,1,,2
4097009,2117,爆音波·LV9,群特,,1,2,108,1,70,9,"通过震耳欲聋的爆炸声产生的破坏力攻击3个敌人,造成特殊伤害",,,5,7,62,,,1,shouji05,,1,,2
4097010,2117,爆音波·LV10,群特,,1,2,122,1,70,9,"通过震耳欲聋的爆炸声产生的破坏力攻击3个敌人,造成特殊伤害",,,5,7,62,,,1,shouji05,,1,,2
4097501,2117,爆音波·LV1,群特,,1,2,75,1,75,9,"通过震耳欲聋的爆炸声产生的破坏力攻击3个敌人,造成特殊伤害",,,5,7,62,,,1,shouji05,,1,,2
4097502,2117,爆音波·LV2,群特,,1,2,79,1,75,9,"通过震耳欲聋的爆炸声产生的破坏力攻击3个敌人,造成特殊伤害",,,5,7,62,,,1,shouji05,,1,,2
4097503,2117,爆音波·LV3,群特,,1,2,83,1,75,9,"通过震耳欲聋的爆炸声产生的破坏力攻击3个敌人,造成特殊伤害",,,5,7,62,,,1,shouji05,,1,,2
4097504,2117,爆音波·LV4,群特,,1,2,86,1,75,9,"通过震耳欲聋的爆炸声产生的破坏力攻击3个敌人,造成特殊伤害",,,5,7,62,,,1,shouji05,,1,,2
4097505,2117,爆音波·LV5,群特,,1,2,90,1,75,9,"通过震耳欲聋的爆炸声产生的破坏力攻击3个敌人,造成特殊伤害",,,5,7,62,,,1,shouji05,,1,,2
4097506,2117,爆音波·LV6,群特,,1,2,94,1,75,9,"通过震耳欲聋的爆炸声产生的破坏力攻击3个敌人,造成特殊伤害",,,5,7,62,,,1,shouji05,,1,,2
4097507,2117,爆音波·LV7,群特,,1,2,108,1,75,9,"通过震耳欲聋的爆炸声产生的破坏力攻击3个敌人,造成特殊伤害",,,5,7,62,,,1,shouji05,,1,,2
4097508,2117,爆音波·LV8,群特,,1,2,111,1,75,9,"通过震耳欲聋的爆炸声产生的破坏力攻击3个敌人,造成特殊伤害",,,5,7,62,,,1,shouji05,,1,,2
4097509,2117,爆音波·LV9,群特,,1,2,116,1,75,9,"通过震耳欲聋的爆炸声产生的破坏力攻击3个敌人,造成特殊伤害",,,5,7,62,,,1,shouji05,,1,,2
4097510,2117,爆音波·LV10,群特,,1,2,131,1,75,9,"通过震耳欲聋的爆炸声产生的破坏力攻击3个敌人,造成特殊伤害",,,5,7,62,,,1,shouji05,,1,,2
4098001,2117,爆音波·LV1,群特,,1,2,80,1,80,9,"通过震耳欲聋的爆炸声产生的破坏力攻击3个敌人,造成特殊伤害",,,5,7,62,,,1,shouji05,,1,,2
4098002,2117,爆音波·LV2,群特,,1,2,84,1,80,9,"通过震耳欲聋的爆炸声产生的破坏力攻击3个敌人,造成特殊伤害",,,5,7,62,,,1,shouji05,,1,,2
