效果ID,注释,火系技能威力百分比,水系技能威力百分比,草系技能威力百分比,妖系技能威力百分比,恶系技能威力百分比,龙系技能威力百分比,冰系技能威力百分比,鬼系技能威力百分比,普通系技能威力,电系技能威力,虫系技能威力,飞行系技能威力,地面系技能威力,岩石系技能威力,格斗系技能威力,超能系技能威力,钢系技能威力,毒系技能威力,暴击伤害百分比,暴击率百分比,命中百分比,闪避百分比,伤害增加百分比,伤害减免百分比,血量百分比,物攻百分比,特攻百分比,物防百分比,特防百分比,速度百分比,血量固定值,物攻固定值,特攻固定值,物防固定值,特防固定值,速度固定值
215072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1584,,,,,
215073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1606,,,,,
215074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1628,,,,,
215075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,,,,,
215076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672,,,,,
215077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1694,,,,,
215078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716,,,,,
215079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1738,,,,,
215080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1760,,,,,
215081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1782,,,,,
215082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,,,,,
215083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1826,,,,,
215084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848,,,,,
215085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870,,,,,
215086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1892,,,,,
215087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,,,,,
215088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936,,,,,
215089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,,,,,
215090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,,,,,
215091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,,,,,
215092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,,,,,
215093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2046,,,,,
215094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2068,,,,,
215095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2090,,,,,
215096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2112,,,,,
215097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2134,,,,,
215098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2156,,,,,
215099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2178,,,,,
215100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,
215101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2222,,,,,
215102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2244,,,,,
215103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2266,,,,,
215104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2288,,,,,
215105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2310,,,,,
215106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2332,,,,,
215107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2354,,,,,
215108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2376,,,,,
215109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2398,,,,,
215110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2420,,,,,
215111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442,,,,,
215112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2464,,,,,
215113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2486,,,,,
215114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2508,,,,,
215115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2530,,,,,
215116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2552,,,,,
215117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2574,,,,,
215118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2596,,,,,
215119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2618,,,,,
215120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2640,,,,,
215121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2662,,,,,
215122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2684,,,,,
215123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2706,,,,,
215124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2728,,,,,
215125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,,,,,
215126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2772,,,,,
215127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2794,,,,,
215128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2816,,,,,
215129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2838,,,,,
215130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2860,,,,,
215131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2882,,,,,
215132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,
215133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2926,,,,,
215134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2948,,,,,
215135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2970,,,,,
215136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2992,,,,,
215137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3014,,,,,
215138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3036,,,,,
215139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3058,,,,,
215140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3080,,,,,
215141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3102,,,,,
215142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3124,,,,,
215143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3146,,,,,
215144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3168,,,,,
215145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3190,,,,,
215146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3212,,,,,
215147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3234,,,,,
215148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3256,,,,,
215149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3278,,,,,
215150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,,,,,
215151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3322,,,,,
215152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3344,,,,,
215153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3366,,,,,
215154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3388,,,,,
215155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3410,,,,,
215156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3432,,,,,
215157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3454,,,,,
215158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3476,,,,,
215159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3498,,,,,
215160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3520,,,,,
215161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3542,,,,,
215162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3564,,,,,
215163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3586,,,,,
215164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3608,,,,,
215165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3630,,,,,
215166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3652,,,,,
215167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3674,,,,,
215168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3696,,,,,
215169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3718,,,,,
215170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3740,,,,,
215171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3762,,,,,
215172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3784,,,,,
215173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3806,,,,,
215174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3828,,,,,
215175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3850,,,,,
215176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3872,,,,,
215177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3894,,,,,
215178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3916,,,,,
215179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3938,,,,,
215180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3960,,,,,
215181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3982,,,,,
215182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4004,,,,,
215183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4026,,,,,
215184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4048,,,,,
215185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4070,,,,,
215186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4092,,,,,
215187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4114,,,,,
215188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4136,,,,,
215189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4158,,,,,
215190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4180,,,,,
215191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4202,,,,,
215192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4224,,,,,
215193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246,,,,,
215194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4268,,,,,
215195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4290,,,,,
215196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4312,,,,,
215197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4334,,,,,
215198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4356,,,,,
215199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4378,,,,,
215200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,
215201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4422,,,,,
215202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4444,,,,,
215203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4466,,,,,
215204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4488,,,,,
215205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4510,,,,,
215206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4532,,,,,
215207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4554,,,,,
215208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4576,,,,,
215209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4598,,,,,
215210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4620,,,,,
215211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4642,,,,,
215212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4664,,,,,
215213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4686,,,,,
215214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4708,,,,,
215215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4730,,,,,
215216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4752,,,,,
215217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4774,,,,,
215218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4796,,,,,
215219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4818,,,,,
215220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4840,,,,,
215221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4862,,,,,
215222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4884,,,,,
215223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4906,,,,,
215224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4928,,,,,
215225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4950,,,,,
215226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4972,,,,,
215227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4994,,,,,
215228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5016,,,,,
215229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5038,,,,,
215230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5060,,,,,
215231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5082,,,,,
215232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5104,,,,,
215233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5126,,,,,
215234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5148,,,,,
215235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5170,,,,,
215236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5192,,,,,
215237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5214,,,,,
215238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5236,,,,,
215239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5258,,,,,
215240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5280,,,,,
215241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5302,,,,,
215242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5324,,,,,
215243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5346,,,,,
215244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5368,,,,,
215245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5390,,,,,
215246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5412,,,,,
215247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5434,,,,,
215248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5456,,,,,
215249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5478,,,,,
215250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500,,,,,
215251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5522,,,,,
215252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5544,,,,,
215253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5566,,,,,
215254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5588,,,,,
215255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5610,,,,,
215256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5632,,,,,
215257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5654,,,,,
215258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5676,,,,,
215259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5698,,,,,
215260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5720,,,,,
215261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5742,,,,,
215262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5764,,,,,
215263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5786,,,,,
215264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5808,,,,,
215265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5830,,,,,
215266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5852,,,,,
215267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5874,,,,,
215268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5896,,,,,
215269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5918,,,,,
215270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5940,,,,,
215271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5962,,,,,
215272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5984,,,,,
215273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6006,,,,,
215274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6028,,,,,
215275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6050,,,,,
215276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6072,,,,,
215277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6094,,,,,
215278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6116,,,,,
215279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6138,,,,,
215280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6160,,,,,
215281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6182,,,,,
215282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6204,,,,,
215283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6226,,,,,
215284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6248,,,,,
215285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6270,,,,,
215286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6292,,,,,
215287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6314,,,,,
215288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6336,,,,,
215289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6358,,,,,
215290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6380,,,,,
215291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6402,,,,,
215292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6424,,,,,
215293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6446,,,,,
215294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6468,,,,,
215295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6490,,,,,
215296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6512,,,,,
215297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6534,,,,,
215298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6556,,,,,
215299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6578,,,,,
215300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600,,,,,
300000,翅膀饰品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,
300001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,
300002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,
300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,
300004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,
300005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,,,
300006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,,,,,
300007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,,,,,
300008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554,,,,,
300009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,,,,,
300010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,
300100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
300101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,
300102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,
300103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,
300104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,
300105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,
300106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,
300107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,
300108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,,,
300109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,,,
300110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433,,,
300200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,
300201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,
300202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,
300203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,
300204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,
300205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,
300206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,
300207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,,
300208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,,
300209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,,
300210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823,,
300300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,
300301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,
300302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,
300303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,
300304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,
300305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,
300306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,
300307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,
300308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,
300309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,
300310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823,
300400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,
300401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,
300402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,
300403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,
300404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,,,,
300405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,,,,
300406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,,,,
300407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683,,,,
300408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,
300409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1537,,,,
300410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304,,,,
300500,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,
300501,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,
300502,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,
300503,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,
300504,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,
300505,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,
300506,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,
300507,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,
300508,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,
300509,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,
300510,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,
300600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,
300601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,
300602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,
300603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,
300604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,
300605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,
300606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,
300607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,
300608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,
300609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,
300610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,
300700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,
300701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,
300702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,
300703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,
300704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,
300705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,
300706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,
300707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,
300708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,
300709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,
300710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,
300800,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,
300801,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,
300802,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,
300803,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,
300804,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,
300805,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,
300806,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,
300807,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,
300808,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,
