道具ID,道具名,道具简介,等级限制,品质（道具框颜色）,排序（不对玩家显示，主要用于排序）,道具类型(1.货币 2.可使用的道具 3.一般消耗素材 4.亲密度道具 5.努力值道具 6.进化素材7.捕捉道具8.技能学习道具9.随机道具10.兑换道具11.精灵碎片 12.角色附魔道具 13.神器强化道具 14.家园建筑制作图纸 15.神器制作图纸 16.用于万能碎片兑换的宝可梦碎片),可使用,所属背包（1.道具 2.学习机. 3.材料 4.其他,"获取面板索引：跳转界面编号出现界面(1:挂机界面,2:精灵界面,3:扭蛋,4:竞技场,5:特殊副本,6:通天塔,7:商店,8:狩猎区,9:主城,10:背包,11:公会,12,角色购买界面,13:活动,14:神兽商店,15:充值,16:任务,17:玩家信息,18:vip,19:称号,20:徽章,21:邮件,22:地图选择,23:聊天,24:好友,25:排行榜,26:培养,27:技能,28:性格,29:图鉴,30:装备,31:队形，32:背包,33:升星,34:确认,35:精灵详情,36:快速战斗,37:签到，41：队伍升级 42:亲密度,43:进化,44:努力值,45:个体值,51:宠物商店，40：秘境，51：终生卡，52：成长基金,72:道馆)",包含道具Loot（引用道具掉落表）（lootid;数量|lootid;数量),获得道具（ID;数量｜ID;数量）,参数预留1（类型5.努力值道具 类型4.亲密度经验.类型7.抓捕增加概率 /100 类型8.引用技能id 类型12.附魔经验）,参数预留2（类型5.努力值道具 类型4.亲密度经验.类型7.抓捕增加概率 /100 类型8.引用技能id 类型12.附魔经验）,购买所需物品id,购买价格,物攻,特攻,物防,特防,速度,生命,,,,,,,,,
813363,千波激荡·Ⅲ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,2,1,8,0,2,57,,,3137003,,,,,,,,,,,,,,,,,,
813364,千波激荡·Ⅳ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,2,1,8,0,2,57,,,3137004,,,,,,,,,,,,,,,,,,
813365,千波激荡·Ⅴ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,3,1,8,0,2,57,,,3137005,,,,,,,,,,,,,,,,,,
813366,千波激荡·Ⅵ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,3,1,8,0,2,57,,,3137006,,,,,,,,,,,,,,,,,,
813367,千波激荡·Ⅶ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,4,1,8,0,2,57,,,3137007,,,,,,,,,,,,,,,,,,
813368,千波激荡·Ⅷ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,4,1,8,0,2,57,,,3137008,,,,,,,,,,,,,,,,,,
813369,千波激荡·Ⅸ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,5,1,8,0,2,57,,,3137009,,,,,,,,,,,,,,,,,,
813370,千波激荡·Ⅹ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,5,1,8,0,2,57,,,3137010,,,,,,,,,,,,,,,,,,
813371,千波激荡·Ⅰ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,1,1,8,0,2,57,,,3137501,,,,,,,,,,,,,,,,,,
813372,千波激荡·Ⅱ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,1,1,8,0,2,57,,,3137502,,,,,,,,,,,,,,,,,,
813373,千波激荡·Ⅲ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,2,1,8,0,2,57,,,3137503,,,,,,,,,,,,,,,,,,
813374,千波激荡·Ⅳ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,2,1,8,0,2,57,,,3137504,,,,,,,,,,,,,,,,,,
813375,千波激荡·Ⅴ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,3,1,8,0,2,57,,,3137505,,,,,,,,,,,,,,,,,,
813376,千波激荡·Ⅵ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,3,1,8,0,2,57,,,3137506,,,,,,,,,,,,,,,,,,
813377,千波激荡·Ⅶ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,4,1,8,0,2,57,,,3137507,,,,,,,,,,,,,,,,,,
813378,千波激荡·Ⅷ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,4,1,8,0,2,57,,,3137508,,,,,,,,,,,,,,,,,,
813379,千波激荡·Ⅸ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,5,1,8,0,2,57,,,3137509,,,,,,,,,,,,,,,,,,
813380,千波激荡·Ⅹ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,5,1,8,0,2,57,,,3137510,,,,,,,,,,,,,,,,,,
813381,千波激荡·Ⅰ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,1,1,8,0,2,57,,,3138001,,,,,,,,,,,,,,,,,,
813382,千波激荡·Ⅱ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,1,1,8,0,2,57,,,3138002,,,,,,,,,,,,,,,,,,
813383,千波激荡·Ⅲ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,2,1,8,0,2,57,,,3138003,,,,,,,,,,,,,,,,,,
813384,千波激荡·Ⅳ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,2,1,8,0,2,57,,,3138004,,,,,,,,,,,,,,,,,,
813385,千波激荡·Ⅴ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,3,1,8,0,2,57,,,3138005,,,,,,,,,,,,,,,,,,
813386,千波激荡·Ⅵ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,3,1,8,0,2,57,,,3138006,,,,,,,,,,,,,,,,,,
813387,千波激荡·Ⅶ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,4,1,8,0,2,57,,,3138007,,,,,,,,,,,,,,,,,,
813388,千波激荡·Ⅷ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,4,1,8,0,2,57,,,3138008,,,,,,,,,,,,,,,,,,
813389,千波激荡·Ⅸ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,5,1,8,0,2,57,,,3138009,,,,,,,,,,,,,,,,,,
813390,千波激荡·Ⅹ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,5,1,8,0,2,57,,,3138010,,,,,,,,,,,,,,,,,,
813391,千波激荡·Ⅰ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,1,1,8,0,2,57,,,3138501,,,,,,,,,,,,,,,,,,
813392,千波激荡·Ⅱ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,1,1,8,0,2,57,,,3138502,,,,,,,,,,,,,,,,,,
813393,千波激荡·Ⅲ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,2,1,8,0,2,57,,,3138503,,,,,,,,,,,,,,,,,,
813394,千波激荡·Ⅳ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,2,1,8,0,2,57,,,3138504,,,,,,,,,,,,,,,,,,
813395,千波激荡·Ⅴ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,3,1,8,0,2,57,,,3138505,,,,,,,,,,,,,,,,,,
813396,千波激荡·Ⅵ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,3,1,8,0,2,57,,,3138506,,,,,,,,,,,,,,,,,,
813397,千波激荡·Ⅶ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,4,1,8,0,2,57,,,3138507,,,,,,,,,,,,,,,,,,
813398,千波激荡·Ⅷ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,4,1,8,0,2,57,,,3138508,,,,,,,,,,,,,,,,,,
813399,千波激荡·Ⅸ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,5,1,8,0,2,57,,,3138509,,,,,,,,,,,,,,,,,,
813400,千波激荡·Ⅹ," 从地面掀起波浪攻击3个敌人,造成物理伤害",,5,1,8,0,2,57,,,3138510,,,,,,,,,,,,,,,,,,
813401,泥巴炸弹·Ⅰ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,1,1,8,0,2,57,,,4134001,,,,,,,,,,,,,,,,,,
813402,泥巴炸弹·Ⅱ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,1,1,8,0,2,57,,,4134002,,,,,,,,,,,,,,,,,,
813403,泥巴炸弹·Ⅲ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,2,1,8,0,2,57,,,4134003,,,,,,,,,,,,,,,,,,
813404,泥巴炸弹·Ⅳ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,2,1,8,0,2,57,,,4134004,,,,,,,,,,,,,,,,,,
813405,泥巴炸弹·Ⅴ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,3,1,8,0,2,57,,,4134005,,,,,,,,,,,,,,,,,,
813406,泥巴炸弹·Ⅵ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,3,1,8,0,2,57,,,4134006,,,,,,,,,,,,,,,,,,
813407,泥巴炸弹·Ⅶ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,4,1,8,0,2,57,,,4134007,,,,,,,,,,,,,,,,,,
813408,泥巴炸弹·Ⅷ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,4,1,8,0,2,57,,,4134008,,,,,,,,,,,,,,,,,,
813409,泥巴炸弹·Ⅸ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,5,1,8,0,2,57,,,4134009,,,,,,,,,,,,,,,,,,
813410,泥巴炸弹·Ⅹ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,5,1,8,0,2,57,,,4134010,,,,,,,,,,,,,,,,,,
813411,泥巴炸弹·Ⅰ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,1,1,8,0,2,57,,,4134501,,,,,,,,,,,,,,,,,,
813412,泥巴炸弹·Ⅱ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,1,1,8,0,2,57,,,4134502,,,,,,,,,,,,,,,,,,
813413,泥巴炸弹·Ⅲ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,2,1,8,0,2,57,,,4134503,,,,,,,,,,,,,,,,,,
813414,泥巴炸弹·Ⅳ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,2,1,8,0,2,57,,,4134504,,,,,,,,,,,,,,,,,,
813415,泥巴炸弹·Ⅴ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,3,1,8,0,2,57,,,4134505,,,,,,,,,,,,,,,,,,
813416,泥巴炸弹·Ⅵ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,3,1,8,0,2,57,,,4134506,,,,,,,,,,,,,,,,,,
813417,泥巴炸弹·Ⅶ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,4,1,8,0,2,57,,,4134507,,,,,,,,,,,,,,,,,,
813418,泥巴炸弹·Ⅷ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,4,1,8,0,2,57,,,4134508,,,,,,,,,,,,,,,,,,
813419,泥巴炸弹·Ⅸ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,5,1,8,0,2,57,,,4134509,,,,,,,,,,,,,,,,,,
813420,泥巴炸弹·Ⅹ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,5,1,8,0,2,57,,,4134510,,,,,,,,,,,,,,,,,,
813421,泥巴炸弹·Ⅰ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,1,1,8,0,2,57,,,4135001,,,,,,,,,,,,,,,,,,
813422,泥巴炸弹·Ⅱ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,1,1,8,0,2,57,,,4135002,,,,,,,,,,,,,,,,,,
813423,泥巴炸弹·Ⅲ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,2,1,8,0,2,57,,,4135003,,,,,,,,,,,,,,,,,,
813424,泥巴炸弹·Ⅳ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,2,1,8,0,2,57,,,4135004,,,,,,,,,,,,,,,,,,
813425,泥巴炸弹·Ⅴ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,3,1,8,0,2,57,,,4135005,,,,,,,,,,,,,,,,,,
813426,泥巴炸弹·Ⅵ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,3,1,8,0,2,57,,,4135006,,,,,,,,,,,,,,,,,,
813427,泥巴炸弹·Ⅶ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,4,1,8,0,2,57,,,4135007,,,,,,,,,,,,,,,,,,
813428,泥巴炸弹·Ⅷ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,4,1,8,0,2,57,,,4135008,,,,,,,,,,,,,,,,,,
813429,泥巴炸弹·Ⅸ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,5,1,8,0,2,57,,,4135009,,,,,,,,,,,,,,,,,,
813430,泥巴炸弹·Ⅹ,"向对手发射坚硬的泥弹,攻击3个敌人,造成特殊伤害",,5,1,8,0,2,57,,,4135010,,,,,,,,,,,,,,,,,,
813431,泥巴射击·Ⅰ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,1,1,8,0,2,57,,,4135501,,,,,,,,,,,,,,,,,,
813432,泥巴射击·Ⅱ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,1,1,8,0,2,57,,,4135502,,,,,,,,,,,,,,,,,,
813433,泥巴射击·Ⅲ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,2,1,8,0,2,57,,,4135503,,,,,,,,,,,,,,,,,,
813434,泥巴射击·Ⅳ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,2,1,8,0,2,57,,,4135504,,,,,,,,,,,,,,,,,,
813435,泥巴射击·Ⅴ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,3,1,8,0,2,57,,,4135505,,,,,,,,,,,,,,,,,,
813436,泥巴射击·Ⅵ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,3,1,8,0,2,57,,,4135506,,,,,,,,,,,,,,,,,,
813437,泥巴射击·Ⅶ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,4,1,8,0,2,57,,,4135507,,,,,,,,,,,,,,,,,,
813438,泥巴射击·Ⅷ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,4,1,8,0,2,57,,,4135508,,,,,,,,,,,,,,,,,,
813439,泥巴射击·Ⅸ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,5,1,8,0,2,57,,,4135509,,,,,,,,,,,,,,,,,,
813440,泥巴射击·Ⅹ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,5,1,8,0,2,57,,,4135510,,,,,,,,,,,,,,,,,,
813441,泥巴射击·Ⅰ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,1,1,8,0,2,57,,,4136001,,,,,,,,,,,,,,,,,,
813442,泥巴射击·Ⅱ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,1,1,8,0,2,57,,,4136002,,,,,,,,,,,,,,,,,,
813443,泥巴射击·Ⅲ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,2,1,8,0,2,57,,,4136003,,,,,,,,,,,,,,,,,,
813444,泥巴射击·Ⅳ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,2,1,8,0,2,57,,,4136004,,,,,,,,,,,,,,,,,,
813445,泥巴射击·Ⅴ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,3,1,8,0,2,57,,,4136005,,,,,,,,,,,,,,,,,,
813446,泥巴射击·Ⅵ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,3,1,8,0,2,57,,,4136006,,,,,,,,,,,,,,,,,,
813447,泥巴射击·Ⅶ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,4,1,8,0,2,57,,,4136007,,,,,,,,,,,,,,,,,,
813448,泥巴射击·Ⅷ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,4,1,8,0,2,57,,,4136008,,,,,,,,,,,,,,,,,,
813449,泥巴射击·Ⅸ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,5,1,8,0,2,57,,,4136009,,,,,,,,,,,,,,,,,,
813450,泥巴射击·Ⅹ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,5,1,8,0,2,57,,,4136010,,,,,,,,,,,,,,,,,,
813451,泥巴射击·Ⅰ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,1,1,8,0,2,57,,,4136501,,,,,,,,,,,,,,,,,,
813452,泥巴射击·Ⅱ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,1,1,8,0,2,57,,,4136502,,,,,,,,,,,,,,,,,,
813453,泥巴射击·Ⅲ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,2,1,8,0,2,57,,,4136503,,,,,,,,,,,,,,,,,,
813454,泥巴射击·Ⅳ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,2,1,8,0,2,57,,,4136504,,,,,,,,,,,,,,,,,,
813455,泥巴射击·Ⅴ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,3,1,8,0,2,57,,,4136505,,,,,,,,,,,,,,,,,,
813456,泥巴射击·Ⅵ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,3,1,8,0,2,57,,,4136506,,,,,,,,,,,,,,,,,,
813457,泥巴射击·Ⅶ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,4,1,8,0,2,57,,,4136507,,,,,,,,,,,,,,,,,,
813458,泥巴射击·Ⅷ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,4,1,8,0,2,57,,,4136508,,,,,,,,,,,,,,,,,,
813459,泥巴射击·Ⅸ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,5,1,8,0,2,57,,,4136509,,,,,,,,,,,,,,,,,,
813460,泥巴射击·Ⅹ,"向对手投掷泥块攻击3个敌人,造成特殊伤害",,5,1,8,0,2,57,,,4136510,,,,,,,,,,,,,,,,,,
813461,大地神力·Ⅰ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,1,1,8,0,2,57,,,4137001,,,,,,,,,,,,,,,,,,
813462,大地神力·Ⅱ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,1,1,8,0,2,57,,,4137002,,,,,,,,,,,,,,,,,,
813463,大地神力·Ⅲ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,2,1,8,0,2,57,,,4137003,,,,,,,,,,,,,,,,,,
813464,大地神力·Ⅳ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,2,1,8,0,2,57,,,4137004,,,,,,,,,,,,,,,,,,
813465,大地神力·Ⅴ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,3,1,8,0,2,57,,,4137005,,,,,,,,,,,,,,,,,,
813466,大地神力·Ⅵ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,3,1,8,0,2,57,,,4137006,,,,,,,,,,,,,,,,,,
813467,大地神力·Ⅶ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,4,1,8,0,2,57,,,4137007,,,,,,,,,,,,,,,,,,
813468,大地神力·Ⅷ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,4,1,8,0,2,57,,,4137008,,,,,,,,,,,,,,,,,,
813469,大地神力·Ⅸ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,5,1,8,0,2,57,,,4137009,,,,,,,,,,,,,,,,,,
813470,大地神力·Ⅹ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,5,1,8,0,2,57,,,4137010,,,,,,,,,,,,,,,,,,
813471,大地神力·Ⅰ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,1,1,8,0,2,57,,,4137501,,,,,,,,,,,,,,,,,,
813472,大地神力·Ⅱ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,1,1,8,0,2,57,,,4137502,,,,,,,,,,,,,,,,,,
813473,大地神力·Ⅲ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,2,1,8,0,2,57,,,4137503,,,,,,,,,,,,,,,,,,
813474,大地神力·Ⅳ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,2,1,8,0,2,57,,,4137504,,,,,,,,,,,,,,,,,,
813475,大地神力·Ⅴ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,3,1,8,0,2,57,,,4137505,,,,,,,,,,,,,,,,,,
813476,大地神力·Ⅵ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,3,1,8,0,2,57,,,4137506,,,,,,,,,,,,,,,,,,
813477,大地神力·Ⅶ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,4,1,8,0,2,57,,,4137507,,,,,,,,,,,,,,,,,,
813478,大地神力·Ⅷ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,4,1,8,0,2,57,,,4137508,,,,,,,,,,,,,,,,,,
813479,大地神力·Ⅸ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,5,1,8,0,2,57,,,4137509,,,,,,,,,,,,,,,,,,
813480,大地神力·Ⅹ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,5,1,8,0,2,57,,,4137510,,,,,,,,,,,,,,,,,,
813481,大地神力·Ⅰ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,1,1,8,0,2,57,,,4138001,,,,,,,,,,,,,,,,,,
813482,大地神力·Ⅱ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,1,1,8,0,2,57,,,4138002,,,,,,,,,,,,,,,,,,
813483,大地神力·Ⅲ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,2,1,8,0,2,57,,,4138003,,,,,,,,,,,,,,,,,,
813484,大地神力·Ⅳ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,2,1,8,0,2,57,,,4138004,,,,,,,,,,,,,,,,,,
813485,大地神力·Ⅴ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,3,1,8,0,2,57,,,4138005,,,,,,,,,,,,,,,,,,
813486,大地神力·Ⅵ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,3,1,8,0,2,57,,,4138006,,,,,,,,,,,,,,,,,,
813487,大地神力·Ⅶ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,4,1,8,0,2,57,,,4138007,,,,,,,,,,,,,,,,,,
813488,大地神力·Ⅷ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,4,1,8,0,2,57,,,4138008,,,,,,,,,,,,,,,,,,
813489,大地神力·Ⅸ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,5,1,8,0,2,57,,,4138009,,,,,,,,,,,,,,,,,,
813490,大地神力·Ⅹ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,5,1,8,0,2,57,,,4138010,,,,,,,,,,,,,,,,,,
813491,大地神力·Ⅰ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,1,1,8,0,2,57,,,4138501,,,,,,,,,,,,,,,,,,
813492,大地神力·Ⅱ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,1,1,8,0,2,57,,,4138502,,,,,,,,,,,,,,,,,,
813493,大地神力·Ⅲ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,2,1,8,0,2,57,,,4138503,,,,,,,,,,,,,,,,,,
813494,大地神力·Ⅳ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,2,1,8,0,2,57,,,4138504,,,,,,,,,,,,,,,,,,
813495,大地神力·Ⅴ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,3,1,8,0,2,57,,,4138505,,,,,,,,,,,,,,,,,,
813496,大地神力·Ⅵ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,3,1,8,0,2,57,,,4138506,,,,,,,,,,,,,,,,,,
813497,大地神力·Ⅶ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,4,1,8,0,2,57,,,4138507,,,,,,,,,,,,,,,,,,
813498,大地神力·Ⅷ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,4,1,8,0,2,57,,,4138508,,,,,,,,,,,,,,,,,,
813499,大地神力·Ⅸ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,5,1,8,0,2,57,,,4138509,,,,,,,,,,,,,,,,,,
813500,大地神力·Ⅹ,"聚集大地的力量攻击3个敌人,造成特殊伤害",,5,1,8,0,2,57,,,4138510,,,,,,,,,,,,,,,,,,
814001,冲岩·Ⅰ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1141501,,,,,,,,,,,,,,,,,,
814002,冲岩·Ⅱ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1141502,,,,,,,,,,,,,,,,,,
814003,冲岩·Ⅲ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1141503,,,,,,,,,,,,,,,,,,
814004,冲岩·Ⅳ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1141504,,,,,,,,,,,,,,,,,,
814005,冲岩·Ⅴ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1141505,,,,,,,,,,,,,,,,,,
814006,冲岩·Ⅵ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1141506,,,,,,,,,,,,,,,,,,
814007,冲岩·Ⅶ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1141507,,,,,,,,,,,,,,,,,,
814008,冲岩·Ⅷ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1141508,,,,,,,,,,,,,,,,,,
814009,冲岩·Ⅸ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1141509,,,,,,,,,,,,,,,,,,
814010,冲岩·Ⅹ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1141510,,,,,,,,,,,,,,,,,,
814011,冲岩·Ⅰ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1142001,,,,,,,,,,,,,,,,,,
814012,冲岩·Ⅱ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1142002,,,,,,,,,,,,,,,,,,
814013,冲岩·Ⅲ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1142003,,,,,,,,,,,,,,,,,,
814014,冲岩·Ⅳ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1142004,,,,,,,,,,,,,,,,,,
814015,冲岩·Ⅴ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1142005,,,,,,,,,,,,,,,,,,
814016,冲岩·Ⅵ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1142006,,,,,,,,,,,,,,,,,,
814017,冲岩·Ⅶ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1142007,,,,,,,,,,,,,,,,,,
814018,冲岩·Ⅷ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1142008,,,,,,,,,,,,,,,,,,
814019,冲岩·Ⅸ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1142009,,,,,,,,,,,,,,,,,,
814020,冲岩·Ⅹ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1142010,,,,,,,,,,,,,,,,,,
814021,冲岩·Ⅰ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1142501,,,,,,,,,,,,,,,,,,
814022,冲岩·Ⅱ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1142502,,,,,,,,,,,,,,,,,,
814023,冲岩·Ⅲ,"迅速撞向对手,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1142503,,,,,,,,,,,,,,,,,,
