宝可梦ID,上阵ID,宝可梦名字,宝可梦描述,特性ID,升23456789星消耗道具（道具id；数量分隔）,努力值升阶道具需求（从1升2起，0升1不需要）,技能(技能编号;技能学习等级|技能编号;技能学习等级),血量种族值,物攻种族值,物防种族值,特攻种族值,特防种族值,速度种族值,种族值总和,属性ID（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼 9.普通 10.电 11.虫 12.飞行 13.地面 14.岩石 15.格斗 16.超能 17.钢 18.毒）,副属性（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼 9.普通 10.电 11.虫 12.飞行 13.地面 14.岩石 15.格斗 16.超能 17.钢 18.毒）,品级,稀有星数, 稀有度（最低1，最高100）,进化所需等级,进化所需亲密度等级,进化所需道具,进化前的宝可梦ID,不可进化（0否，1是，默认0）,进化后的宝可梦ID,进化所需货币,特殊进化所需等级(|分隔）,特殊进化所需亲密度等级(|分隔）,特殊进化所需道具(道具id;道具数量|第二个道具id;道具数量:另一个宝可梦进化所需…   ';'分隔id和数量'|'分隔不同的道具':'分隔不同的宝可梦需求）,特殊进化后的宝可梦ID(|分隔）,特殊进化所需货币(；分隔道具id和数量 |分隔不同的宝可梦需求）,升星可用宝可梦,可学习的天赋树,可学习的技能机器id(系ID|系ID),可升最高星数(最高到达星数）,可超进阶的用1,宝可萌声音,孵化时间（单位：分钟）,碎片需求数量,合成消耗金币,宝可萌星级加成,图鉴显示(0不显示，1显示，默认0),默认精灵球
1783,535,鳞甲龙,让鳞片互相敲击，发出声响。在节奏达到最高潮的时候发动袭击。,46,601784;10|601784;20|601784;30|601784;40|601784;50|601784;60|601784;70|601784;80,601784;10|601784;20|601784;30|601784;30|601784;30|601784;50|601784;50|601784;50|601784;70|601784;70|601784;70|601784;90|601784;90|601784;90,1063503;1|4156504;3|3066506;20,55,75,90,65,70,65,420,6,15,3,4,70,29,13,12151;400|12152;200|12106;500|12126;100,1782,,1784,1;1000000,,,,,,,1783,6|15|9,9,,1001,600,601783;80,1200000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1784,536,杖尾鳞甲龙,看到敌人后，会让尾部的鳞片发出哐啷哐啷的声音进行威吓,46,601784;10|601784;20|601784;30|601784;40|601784;50|601784;60|601784;70|601784;80,601784;10|601784;20|601784;30|601784;30|601784;30|601784;50|601784;50|601784;50|601784;70|601784;70|601784;70|601784;90|601784;90|601784;90,1063504;1|4156505;3|3066507;20,75,110,125,100,105,85,600,6,15,4,4,100,,,,1783,,,,,,,,,,1784,6|15|9,9,,1001,4320,601784;150,2250000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13007
1791,537,索尔迦雷欧,索尔迦雷欧自远古时代起，作为太阳之使者备受崇拜，古人以敬畏的心称之为“吞食太阳之兽”,148,601791;10|601791;20|601791;30|601791;40|601791;50|601791;60|601791;70|601791;80,601791;10|601791;20|601791;30|601791;30|601791;30|601791;50|601791;50|601791;50|601791;70|601791;70|601791;70|601791;90|601791;90|601791;90,1166008;1|2173508;3|16004008;20,137,137,107,113,89,97,680,16,17,6,5,100,,,,,,,,,,,,,,1791,16|17|9,9,,1001,20000,601791;200,3000000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,0,13007
1792,538,露奈雅拉,露奈雅拉自远古时代起，作为月亮之使者备受崇拜，古人以敬畏的心称之为“邀引月亮之兽”,149,601792;10|601792;20|601792;30|601792;40|601792;50|601792;60|601792;70|601792;80,601792;10|601792;20|601792;30|601792;30|601792;30|601792;50|601792;50|601792;50|601792;70|601792;70|601792;70|601792;90|601792;90|601792;90,1083508;1|2166008;3|4166508;20|36001105;30,137,113,89,137,107,97,680,16,8,6,5,100,,,,,,,,,,,,,,1792,16|8|9,9,,1001,20000,601792;200,3000000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,0,13007
1793,539,虚吾伊德,被谜团包围的究极异兽的一种。有人目击了街上的人们被寄生后暴走起来的样子。,143,601793;10|601793;20|601793;30|601793;40|601793;50|601793;60|601793;70|601793;80,601793;10|601793;20|601793;30|601793;30|601793;30|601793;50|601793;50|601793;50|601793;70|601793;70|601793;70|601793;90|601793;90|601793;90,1183506;1|2146008;3|14001608;20,109,53,47,127,131,103,570,14,18,7,5,100,,,,,,,,,,,,,,1793,14|18|9,9,,1001,4320,601793;200,3000000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,0,13006
1794,540,爆肌蚊,从其他世界出现的究极异兽。会向人展现自己的身体，但不知道是出于自豪还是威吓,143,601794;10|601794;20|601794;30|601794;40|601794;50|601794;60|601794;70|601794;80,601794;10|601794;20|601794;30|601794;30|601794;30|601794;50|601794;50|601794;50|601794;70|601794;70|601794;70|601794;90|601794;90|601794;90,2112502;1|2153508;3|11002008;20,107,139,139,53,53,79,570,11,15,7,5,100,,,,,,,,,,,,,,1794,11|15|9,9,,1001,4320,601794;200,3000000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,0,13006
1795,541,费洛美螂,危险究极异兽中的一种。被人目击到以骇人的速度在大地狂奔的样子,143,601795;10|601795;20|601795;30|601795;40|601795;50|601795;60|601795;70|601795;80,601795;10|601795;20|601795;30|601795;30|601795;30|601795;50|601795;50|601795;50|601795;70|601795;70|601795;70|601795;90|601795;90|601795;90,2112503;1|2153508;3|11002108;20,71,137,37,137,37,151,570,11,15,7,5,100,,,,,,,,,,,,,,1795,11|15|9,9,,1001,4320,601795;200,3000000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,0,13006
1796,542,电束木,被目击到了从全身喷涌出骇人电击的光景。谜一般的生物究极异兽的一种,143,601796;10|601796;20|601796;30|601796;40|601796;50|601796;60|601796;70|601796;80,601796;10|601796;20|601796;30|601796;30|601796;30|601796;50|601796;50|601796;50|601796;70|601796;70|601796;70|601796;90|601796;90|601796;90,1106006;1|2106008;3|10000108;20,83,89,71,173,71,83,570,10,,7,5,100,,,,,,,,,,,,,,1796,10||9,9,,1001,4320,601796;200,3000000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,0,13006
1797,543,铁火辉夜,从究极之洞出现的究极异兽。被人目击到以高速在空中飞行的样子,143,601797;10|601797;20|601797;30|601797;40|601797;50|601797;60|601797;70|601797;80,601797;10|601797;20|601797;30|601797;30|601797;30|601797;50|601797;50|601797;50|601797;70|601797;70|601797;70|601797;90|601797;90|601797;90,1123506;1|2178508;3|17002608;20,97,101,103,107,101,61,570,17,12,7,5,100,,,,,,,,,,,,,,1797,17|12|9,9,,1001,4320,601797;200,3000000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,0,13006
1798,544,纸御剑,从究极之洞出现的究极异兽。本身并不打算恐吓敌人，但是锐利的全身就是凶器,143,601798;10|601798;20|601798;30|601798;40|601798;50|601798;60|601798;70|601798;80,601798;10|601798;20|601798;30|601798;30|601798;30|601798;50|601798;50|601798;50|601798;70|601798;70|601798;70|601798;90|601798;90|601798;90,1036006;1|2173508;3|3036508;20|3000107;30,59,181,131,59,31,109,570,3,17,7,5,100,,,,,,,,,,,,,,1798,3|17|9,9,,1001,4320,601798;200,3000000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,0,13006
1799,545,恶食大王,有人报告过它啃噬山体，以及吞掉大楼的模样。是究极异兽的一种,143,601799;10|601799;20|601799;30|601799;40|601799;50|601799;60|601799;70|601799;80,601799;10|601799;20|601799;30|601799;30|601799;30|601799;50|601799;50|601799;50|601799;70|601799;70|601799;70|601799;90|601799;90|601799;90,1056006;1|2063508;3|5002008;20,223,101,53,97,53,43,570,5,6,7,5,100,,,,,,,,,,,,,,1799,5|6|9,9,,1001,4320,601799;200,3000000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,0,13006
1800,546,奈克洛兹玛,好像一直都沉睡在地下。被认为是太古时代从其他世界来到此地的类似究极异兽的生物,143,601800;10|601800;20|601800;30|601800;40|601800;50|601800;60|601800;70|601800;80,601800;10|601800;20|601800;30|601800;30|601800;30|601800;50|601800;50|601800;50|601800;70|601800;70|601800;70|601800;90|601800;90|601800;90,1163506;1|2166008;3|16000208;20,97,107,101,127,89,79,600,16,,7,5,100,,,,,,,,,,,,,,1800,16||9,9,,1001,4320,601800;200,3000000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,0,13007
1801,547,玛机雅娜,500多年前被制造出的人造宝可梦，理解人类的语言但不会说,109,601801;10|601801;20|601801;30|601801;40|601801;50|601801;60|601801;70|601801;80,601801;10|601801;20|601801;30|601801;30|601801;30|601801;50|601801;50|601801;50|601801;70|601801;70|601801;70|601801;90|601801;90|601801;90,322;1|2178508;3|1176008;20,80,95,115,130,115,65,600,17,4,6,5,100,,,,,,,,,,,,,,1801,17|4|9,9,,1801,20000,601801;200,3000000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,0,13007
1802,548,玛夏多,可以潜入影子中，因为不会在人的面前展露身姿，所以其存在曾是个幻想,109,601802;10|601802;20|601802;30|601802;40|601802;50|601802;60|601802;70|601802;80,601802;10|601802;20|601802;30|601802;30|601802;30|601802;50|601802;50|601802;50|601802;70|601802;70|601802;70|601802;90|601802;90|601802;90,2156006;1|1158508;3|3086508;20,90,125,80,90,90,125,600,15,8,6,5,100,,,,,,,,,,,,,,1802,15|8|9,9,,1802,20000,601802;200,3000000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,0,13007
1803,549,毒贝比,栖息在异世界的究极异兽，会从头部的毒针朝对手喷出毒液，咯咯咯大笑,143,601803;10|601803;20|601803;30|601803;40|601803;50|601803;60|601803;70|601803;80,601803;10|601803;20|601803;30|601803;30|601803;30|601803;50|601803;50|601803;50|601803;70|601803;70|601803;70|601803;90|601803;90|601803;90,1183506;1|4185007;3|2186007;20,67,73,67,73,67,73,420,18,,7,5,100,28,10,12111;1200|12129;360,,,1804,1;10000000,,,,,,,1803,18||9,9,,1803,4320,601803;200,3000000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,0,13002
1804,550,四颚针龙,体内储存着几百升的毒液。是被称为究极异兽的生物中的一种,143,601803;10|601803;20|601803;30|601803;40|601803;50|601803;60|601803;70|601803;80,601803;10|601803;20|601803;30|601803;30|601803;30|601803;50|601803;50|601803;50|601803;70|601803;70|601803;70|601803;90|601803;90|601803;90,1186006;1|4188508;3|2068508;20,73,73,73,127,73,121,540,18,6,7,5,100,,,,1803,,,,,,,,,,1804,18|6|9,9,,1804,4320,601804;200,3000000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,0,13006
1805,551,垒磊石,像是究极异兽的谜一般的生命体，突然动起来并展开袭击的石墙，正身就是这家伙,143,601805;10|601805;20|601805;30|601805;40|601805;50|601805;60|601805;70|601805;80,601805;10|601805;20|601805;30|601805;30|601805;30|601805;50|601805;50|601805;50|601805;70|601805;70|601805;70|601805;90|601805;90|601805;90,1146006;1|3145008;3|3176508;20,61,131,211,53,101,13,570,14,17,7,5,100,,,,,,,,,,,,,,1805,14|17|9,9,,1805,4320,601805;200,3000000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,0,13006
1806,552,砰头小丑,扭啊扭地移动着，靠近人后会突然让头爆炸，好像是究极异兽中的一种,143,601806;10|601806;20|601806;30|601806;40|601806;50|601806;60|601806;70|601806;80,601806;10|601806;20|601806;30|601806;30|601806;30|601806;50|601806;50|601806;50|601806;70|601806;70|601806;70|601806;90|601806;90|601806;90,62;1|3016508;3|4086508;20,53,127,53,151,79,107,570,1,8,7,5,100,,,,,,,,,,,,,,1806,1|8|9,9,,1806,4320,601806;200,3000000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,0,13006
1811,553,暗·闪电鸟,,143,601811;10|601811;20|601811;30|601811;40|601811;50|601811;60|601811;70|601811;80,601811;10|601811;20|601811;30|601811;30|601811;30|601811;50|601811;50|601811;50|601811;70|601811;70|601811;70|601811;90|601811;90|601811;90,1123506;1|2108509;3|4106509;20|10000607;30,96,96,81,121,86,120,600,10,12,7,5,100,,,,,,,,,,,,,,1811,10|12|9,9,,1145,4320,601811;200,3000000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,0,13007
1812,554,暗·火焰鸟,,143,601812;10|601812;20|601812;30|601812;40|601812;50|601812;60|601812;70|601812;80,601812;10|601812;20|601812;30|601812;30|601812;30|601812;50|601812;50|601812;50|601812;70|601812;70|601812;70|601812;90|601812;90|601812;90,1123506;1|2018509;3|1000109;20,96,106,86,121,81,110,600,1,12,7,5,100,,,,,,,,,,,,,,1812,1|12|9,9,,1001,4320,601812;200,3000000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,0,13007
1813,555,暗·雷公,,143,601813;10|601813;20|601813;30|601813;40|601813;50|601813;60|601813;70|601813;80,601813;10|601813;20|601813;30|601813;30|601813;30|601813;50|601813;50|601813;50|601813;70|601813;70|601813;70|601813;90|601813;90|601813;90,1103506;1|2108509;3|4106509;20|10000607;30,126,91,71,111,90,111,600,10,,7,5,100,,,,,,,,,,,,,,1813,10||9,9,,1001,4320,601813;200,3000000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,0,13007
1814,556,帝牙卢卡,帝牙卢卡像是周身带有金属部分，身上有数道浅蓝色条纹的深蓝色蜥脚下目恐龙。,150,601814;10|601814;20|601814;30|601814;40|601814;50|601814;60|601814;70|601814;80,601814;10|601814;20|601814;30|601814;30|601814;30|601814;50|601814;50|601814;50|601814;70|601814;70|601814;70|601814;90|601814;90|601814;90,1063508;1|2178508;3|17002508;20,100,120,120,150,100,90,680,17,6,6,5,100,,,,,,,,,,,,,,1814,17|6|9,9,,1001,20000,601814;200,3000000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,0,13007
1815,557,帕路奇亚,帕路奇亚学会著空间，是操控空间的神。,151,601815;10|601815;20|601815;30|601815;40|601815;50|601815;60|601815;70|601815;80,601815;10|601815;20|601815;30|601815;30|601815;30|601815;50|601815;50|601815;50|601815;70|601815;70|601815;70|601815;90|601815;90|601815;90,1066008;1|2028508;3|4026508;20|2000507;30,90,120,100,150,120,100,680,2,6,6,5,100,,,,,,,,,,,,,,1815,2|6|9,9,,1001,20000,601815;200,3000000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,0,13007
1900,558,天气小子,有太阳、水、冰三种形态。,29,601900;10|601900;20|601900;30|601900;40|601900;50|601900;60|601900;70|601900;80,601900;10|601900;20|601900;30|601900;30|601900;30|601900;50|601900;50|601900;50|601900;70|601900;70|601900;70|601900;90|601900;90|601900;90,2093504;1|3096505;3|4096507;20,75,75,55,130,95,110,540,9,,4,4,95,,,,,,,,32|32|32,19|19|19,12151;350|12152;65|12102;260:12151;350|12152;65|12107;260:12151;350|12152;65|12101;260,1901|1902|1903,1;1000000|1;1000000|1;1000000,,1900,9,9,,1066,4320,601900;150,2250000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1901,559,水系小子,水形态,22,601900;10|601900;20|601900;30|601900;40|601900;50|601900;60|601900;70|601900;80,601900;10|601900;20|601900;30|601900;30|601900;30|601900;50|601900;50|601900;50|601900;70|601900;70|601900;70|601900;90|601900;90|601900;90,2023504;1|3026505;3|4026507;20,130,45,60,110,95,100,540,2,,4,4,95,,,,1900,,,,,,,,,,1901,2||9,9,,1067,4320,601901;150,2250000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1902,560,冰系小子,冰形态,102,601900;10|601900;20|601900;30|601900;40|601900;50|601900;60|601900;70|601900;80,601900;10|601900;20|601900;30|601900;30|601900;30|601900;50|601900;50|601900;50|601900;70|601900;70|601900;70|601900;90|601900;90|601900;90,2073504;1|3076505;3|4076507;20,115,55,85,100,100,85,540,7,,4,4,95,,,,1900,,,,,,,,,,1902,7||9,9,,1059,4320,601902;150,2250000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1903,561,太阳小子,太阳形态,52,601900;10|601900;20|601900;30|601900;40|601900;50|601900;60|601900;70|601900;80,601900;10|601900;20|601900;30|601900;30|601900;30|601900;50|601900;50|601900;50|601900;70|601900;70|601900;70|601900;90|601900;90|601900;90,1013504;1|4016505;3|3016507;20,95,160,60,50,110,65,540,1,,4,4,95,,,,1900,,,,,,,,,,1903,1||9,9,,1060,4320,601903;150,2250000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1975,562,水晶大钢蛇,水晶一样的大岩蛇,26,601208;10|601208;20|601208;30|601208;40|601208;50|601208;60|601208;70|601208;80,601208;10|601208;20|601208;30|601208;30|601208;30|601208;50|601208;50|601208;50|601208;70|601208;70|601208;70|601208;90|601208;90|601208;90,1173504;1|4076505;3|3176507;20,100,95,200,55,100,50,600,17,7,5,4,90,,,,,,,,,,,,,,1975,17|7|9,9,,1208,4320,601975;200,3000000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13007
1976,563,黑夜小拉达,漆黑的身体在黑夜中穿行无阻,48,601977;10|601977;20|601977;30|601977;40|601977;50|601977;60|601977;70|601977;80,601977;10|601977;20|601977;30|601977;30|601977;30|601977;50|601977;50|601977;50|601977;70|601977;70|601977;70|601977;90|601977;90|601977;90,1093502;1|3056504;3|3096504;20,50,60,35,25,35,52,257,9,5,1,1,1,10,5,12151;100|12109;45,,,1977,1;350000,,,,,,,1976,9|5|9,9,,1001,120,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1977,564,黑夜拉达,唯独那对洁白的大门牙，让人印象深刻,48,601977;10|601977;20|601977;30|601977;40|601977;50|601977;60|601977;70|601977;80,601977;10|601977;20|601977;30|601977;30|601977;30|601977;50|601977;50|601977;50|601977;70|601977;70|601977;70|601977;90|601977;90|601977;90,1053503;1|4056504;3|3056506;20,85,75,80,40,80,57,417,5,,3,1,50,,,,1976,,,,,,,,,,1977,5||9,9,,1001,600,601977;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1978,565,冰雪穿山鼠,生活在极寒地带，因此，不惧严寒,70,601979;10|601979;20|601979;30|601979;40|601979;50|601979;60|601979;70|601979;80,601979;10|601979;20|601979;30|601979;30|601979;30|601979;50|601979;50|601979;50|601979;70|601979;70|601979;70|601979;90|601979;90|601979;90,2073502;1|3176503;3|4076505;20,70,10,50,75,55,40,300,7,17,2,1,15,10,5,12151;100|12107;45,,,1979,1;300000,,,,,,,1978,7|17|9,9,,1001,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1979,566,冰雪穿山王,在冰雪中穿梭犹如破冰船,70,601979;10|601979;20|601979;30|601979;40|601979;50|601979;60|601979;70|601979;80,601979;10|601979;20|601979;30|601979;30|601979;30|601979;50|601979;50|601979;50|601979;70|601979;70|601979;70|601979;90|601979;90|601979;90,2073503;1|3176504;3|4076506;20,85,20,70,100,65,75,415,7,17,3,1,50,,,,1978,,,,,,,,,,1979,7|17|9,9,,1001,600,601979;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1980,567,坏喵喵,一看就不乖的喵，最好远离他,19,601981;10|601981;20|601981;30|601981;40|601981;50|601981;60|601981;70|601981;80,601981;10|601981;20|601981;30|601981;30|601981;30|601981;50|601981;50|601981;50|601981;70|601981;70|601981;70|601981;90|601981;90|601981;90,1053502;1|3056504;3,35,55,40,30,45,70,275,5,,1,1,1,10,5,12151;100|12105;45,,,1981,1;350000,,,,,,,1980,5||9,9,,1001,120,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1981,568,黑猫老大,看久了，还觉得这只喵挺可爱,19,601981;10|601981;20|601981;30|601981;40|601981;50|601981;60|601981;70|601981;80,601981;10|601981;20|601981;30|601981;30|601981;30|601981;50|601981;50|601981;50|601981;70|601981;70|601981;70|601981;90|601981;90|601981;90,1053503;1|4056504;3|3056506;20,65,80,60,60,65,115,445,5,,3,1,50,,,,1980,,,,,,,,,,1981,5||9,9,,1001,600,601981;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1982,569,长颈椰蛋树,脖子变长之后，看的更远了,141,601102;10|601102;20|601102;30|601102;40|601102;50|601102;60|601102;70|601102;80,601102;10|601102;20|601102;30|601102;30|601102;30|601102;50|601102;50|601102;50|601102;70|601102;70|601102;70|601102;90|601102;90|601102;90,2033504;1|3066505;3|4036507;20,90,100,80,130,85,50,535,3,6,4,4,85,,,,1102,,,,,,,,,,1982,3|6|9,9,,1103,4320,601982;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1983,570,寒冰六尾,出生时，只有一条红色的尾巴，随着生长尾巴也会增加,132,601984;10|601984;20|601984;30|601984;40|601984;50|601984;60|601984;70|601984;80,601984;10|601984;20|601984;30|601984;30|601984;30|601984;50|601984;50|601984;50|601984;70|601984;70|601984;70|601984;90|601984;90|601984;90,2073502;1|4076504;3,40,45,40,50,50,50,275,7,,1,4,10,25,8,12151;400|12152;80|12107;295,,,1984,1;1500000,,,,,,,1983,7||9,9,,1001,120,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1984,571,极冰九尾,尾巴长到9条，生性聪明,132,601984;10|601984;20|601984;30|601984;40|601984;50|601984;60|601984;70|601984;80,601984;10|601984;20|601984;30|601984;30|601984;30|601984;50|601984;50|601984;50|601984;70|601984;70|601984;70|601984;90|601984;90|601984;90,2073504;1|3046505;3|4076507;20,75,75,75,85,100,110,520,7,4,4,4,85,,,,1983,,,,,,,,,,1984,7|4|9,9,,1001,4320,601984;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1985,572,迷之嘎拉嘎拉,这个小家伙看上去有点…不对劲,40,601104;10|601104;20|601104;30|601104;40|601104;50|601104;60|601104;70|601104;80,601104;10|601104;20|601104;30|601104;30|601104;30|601104;50|601104;50|601104;50|601104;70|601104;70|601104;70|601104;90|601104;90|601104;90,2083503;1|3016504;3|4086506;20,75,50,80,85,75,65,430,8,1,3,1,60,,,,1104,,,,,,,,,,1985,8|1|9,9,,1105,600,601985;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1986,573,格斗皮卡丘,"勇猛的格斗皮卡丘,屠过龙的它却非常喜欢和明星皮卡丘跳舞",44,601986;10|601986;20|601986;30|601986;40|601986;50|601986;60|601986;70|601986;80,601986;10|601986;20|601986;30|601986;30|601986;30|601986;50|601986;50|601986;50|601986;70|601986;70|601986;70|601986;90|601986;90|601986;90,1103504;1|4106505;3|3106507;20,90,110,80,55,50,100,485,10,,4,3,100,,,,,,,,,,,,,1026|1986|1992,1986,10||9,9,,1001,4320,601986;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1987,574,贵妇皮卡丘,"美丽的贵妇皮卡丘,做的菜闻名于世的它平常喜欢模仿摇滚皮卡丘唱RAP",41,601987;10|601987;20|601987;30|601987;40|601987;50|601987;60|601987;70|601987;80,601987;10|601987;20|601987;30|601987;30|601987;30|601987;50|601987;50|601987;50|601987;70|601987;70|601987;70|601987;90|601987;90|601987;90,2103504;1|3106505;3|4106507;20,110,45,95,80,95,60,485,10,,4,3,100,,,,,,,,,,,,,1026|1987|1992,1987,10||9,9,,1001,4320,601987;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1988,575,学者皮卡丘,"睿智的学者皮卡丘,科学界泰斗的它却很喜欢和贵妇皮卡丘玩过家家",18,601988;10|601988;20|601988;30|601988;40|601988;50|601988;60|601988;70|601988;80,601988;10|601988;20|601988;30|601988;30|601988;30|601988;50|601988;50|601988;50|601988;70|601988;70|601988;70|601988;90|601988;90|601988;90,2103504;1|3106505;3|4106507;20,90,55,50,110,80,100,485,10,,4,3,100,,,,,,,,,,,,,1026|1988|1992,1988,10||9,9,,1001,4320,601988;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1989,576,明星皮卡丘,"性感的明星皮卡丘,舞蹈家新星的会经常偷瞟和它同台演出的摇滚皮卡丘",11,601989;10|601989;20|601989;30|601989;40|601989;50|601989;60|601989;70|601989;80,601989;10|601989;20|601989;30|601989;30|601989;30|601989;50|601989;50|601989;50|601989;70|601989;70|601989;70|601989;90|601989;90|601989;90,1103504;1|4106505;3|3106507;20,110,80,95,45,95,60,485,10,,4,3,100,,,,,,,,,,,,,1026|1989|1992,1989,10||9,9,,1001,4320,601989;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1990,577,摇滚皮卡丘,"帅气的摇滚皮卡丘,摇滚明星的它平常喜欢帮助学者皮卡丘做科研",38,601990;10|601990;20|601990;30|601990;40|601990;50|601990;60|601990;70|601990;80,601990;10|601990;20|601990;30|601990;30|601990;30|601990;50|601990;50|601990;50|601990;70|601990;70|601990;70|601990;90|601990;90|601990;90,2103504;1|3106505;3|4106507;20,65,95,50,95,50,130,485,10,,4,3,100,,,,,,,,,,,,,1026|1990|1992,1990,10||9,9,,1001,4320,601990;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1991,578,鬼伊布,伊布的鬼系形态,129,601133;10|601133;20|601133;30|601133;40|601133;50|601133;60|601133;70|601133;80,601133;10|601133;20|601133;30|601133;30|601133;30|601133;50|601133;50|601133;50|601133;70|601133;70|601133;70|601133;90|601133;90|601133;90,1083504;1|4086505;3|3086507;20,105,120,60,65,75,100,525,8,,4,4,95,,,,1133,,,,,,,,,,1991,8||9,9,,1061,4320,601991;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1992,579,阿罗拉·雷丘,比皮卡丘更加强大，它能储存更多的电,11,601025;10|601025;20|601025;30|601025;40|601025;50|601025;60|601025;70|601025;80,601025;10|601025;20|601025;30|601025;30|601025;30|601025;50|601025;50|601025;50|601025;70|601025;70|601025;70|601025;90|601025;90|601025;90,2103504;1|3106505;3|3104506;20,60,90,55,90,80,110,485,10,,4,3,85,,,,1025,,,,,,,,,,1992,10||9,9,,1026,4320,601992;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1993,580,由克希,由克希像精灵，身子小且呈灰色,59,601993;10|601993;20|601993;30|601993;40|601993;50|601993;60|601993;70|601993;80,601993;10|601993;20|601993;30|601993;30|601993;30|601993;50|601993;50|601993;50|601993;70|601993;70|601993;70|601993;90|601993;90|601993;90,1166006;1|2166008;3|16003008;20,75,75,130,75,130,95,580,16,,6,5,100,40,20,12111;1000|12127;600|601993;200,,,301993,1;10000000,,,,,,,1993,16||9,9,,1062,4320,601993;150,2250000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
