自增长id,任务类型(1是每日任务，每日刷新;2是成就任务，只能完成一次 3.引导任务 4.关卡奖励),是否为初始任务(1为初始任务),后置任务(;分割),任务名#加颜色｛0｝读取任务数量列（LimitedNum）,任务描述(文字描述，包含了任务要求文本)#加颜色，｛0｝读取任务数量列（LimitedNum）,"任务要求类别（1.精灵升级次数（1,3) 2. 挑战BOSS次数(1, 3.扭蛋次数(1,2,3) 4.特殊副本通过次数(1,2,3) 5.竞技场胜利次数(1,2,3) 6.战斗力累计(2) 7.获得不同的精灵(2) 8.抓宠中心参加次数(1,3) 9. 爬塔层数(2) 10.通过关卡(2,3) 11.任意精灵到达的星数 12.任意携带品到达的等级数(2) 13.任意1个徽章到达等级数(2) 14.公会捐献次数(1,2) 15.个体值洗练次数(1,3) 16.个体值平均值数(2) 17.地底挑战胜利次数(1,3) 18.获得的角色数(2) 101.进化累计次数(3) 102.1个精灵努力值总数(2) 103.任意1个亲密度等级数(2) 104.任意1个精灵穿戴技能数(3) 105.性格洗练次数(3) 106.阵型升级次数(3) 107.任意精灵穿戴携带品数(3) 108.精灵上阵数(3) 109.使用快速战斗累计次数(3) 110.商店刷新累计次数(1,3) 111.放生精灵个数(1,3) 112.累计签到次数（1,3) 113.加入公会次数（创建或加别人公会都算）(3) 114.使用道具升级亲密度等级（3） 115.使用道具增加努力值点数（3） 116.携带品升级次数（3） 117.技能学习次数(3) 118.切磋或掠夺次数（3） 119.申请添加好友次数（3）120.玩家等级数到达X  130.参加战斗地铁次数大X次 131.战斗地铁等级达到X级 132.捕获小精灵 133.孵蛋 134.称号 135.天赋 136.跟随 137.碎片兑换 138.通过关卡（关卡奖励）",任务要求数量或通过关卡ID(任务要求完成的数量或通过关卡ID),获得活跃度,是否重新记录（填1时，之前做任务的数最多到填1的数据，之后重新记录）,任务奖励1,任务奖励2,任务奖励3,"跳转界面编号(1:挂机界面,2:精灵界面,3:扭蛋,4:竞技场,5:特殊副本,6:通天塔,7:商店,8:狩猎区,9:主城,10:背包,11:公会,12,角色购买界面,13:活动,14:神兽商店,15:充值,16:任务,17:玩家信息,18:vip，22:地图选择，71：战斗地铁)",引导起始id,可见等级（小于此等级，当前任务不可见）,,,,,,,,,,,
735,3,,736,精灵累计达到{0}级,精灵累计升{0}级,1,2740,,,3;43300,,,2,11,,,,,,,,,,,,
736,3,,737,地底挑战达到{0}次,地底挑战达到{0}层,9,61,,,19001;100,,,9,,,,,,,,,,,,,
737,3,,738,升级{0}次携带品,升级{0}次携带品,116,40,,1,6;20,,,2,71,,,,,,,,,,,,
738,3,,739,到达第{0}关,到达第{0}关,10,4180,,,3;43800,,,1,1,,,,,,,,,,,,
739,3,,740,精灵累计达到{0}级,精灵累计升{0}级,1,2770,,,1;53900,,,2,11,,,,,,,,,,,,
740,3,,741,进入{0}次狩猎场,进入{0}次狩猎场,8,18,,1,1;54700,,,22,221,,,,,,,,,,,,
741,3,,742,放生{0}个宠物,放生{0}个宠物,111,25,,1,6;105,,,2,241,,,,,,,,,,,,
742,3,,743,刷新{0}次商店,刷新{0}次商店,110,24,,1,6;110,,,1,161,,,,,,,,,,,,
743,3,,744,到达第{0}关,到达第{0}关,10,4250,,,3;44300,,,1,1,,,,,,,,,,,,
744,3,,745,精灵累计达到{0}级,精灵累计升{0}级,1,2800,,,3;44800,,,2,11,,,,,,,,,,,,
745,3,,746,参加{0}次特殊副本,参加{0}次特殊副本,4,40,,1,12301;2,,,5,,,,,,,,,,,,,
746,3,,747,亲密度升级{0}次,喂养亲密度升级{0}次,114,28,,1,6;20,,,2,21,,,,,,,,,,,,
747,3,,748,个体值洗练{0}次,个体值洗练{0}次,15,39,,1,1;55500,,,2,,,,,,,,,,,,,
748,3,,749,到达第{0}关,到达第{0}关,10,4320,,,3;45300,,,1,1,,,,,,,,,,,,
749,3,,750,精灵累计达到{0}级,精灵累计升{0}级,1,2830,,,3;45800,,,2,11,,,,,,,,,,,,
750,3,,751,竞技场胜利{0}次,竞技场胜利{0}次,5,32,,1,5;50,,,9,191,,,,,,,,,,,,
751,3,,752,刷新{0}次商店,刷新{0}次商店,110,25,,1,6;110,,,1,161,,,,,,,,,,,,
752,3,,753,提升努力值{0}点,使用道具提升努力值{0}点,115,46,,1,3;46300,,,2,41,,,,,,,,,,,,
753,3,,754,到达第{0}关,到达第{0}关,10,4390,,,1;56300,,,1,1,,,,,,,,,,,,
754,3,,755,精灵累计达到{0}级,精灵累计升{0}级,1,2860,,,6;20,,,2,11,,,,,,,,,,,,
755,3,,756,地底挑战达到{0}次,地底挑战达到{0}层,9,62,,,19001;100,,,9,,,,,,,,,,,,,
756,3,,757,升级{0}次携带品,升级{0}次携带品,116,45,,1,1;57100,,,2,71,,,,,,,,,,,,
757,3,,758,到达第{0}关,到达第{0}关,10,4460,,,3;46800,,,1,1,,,,,,,,,,,,
758,3,,759,精灵累计达到{0}级,精灵累计升{0}级,1,2890,,,3;47300,,,2,11,,,,,,,,,,,,
759,3,,760,进入{0}次狩猎场,进入{0}次狩猎场,8,20,,1,1;57900,,,22,221,,,,,,,,,,,,
760,3,,761,放生{0}个宠物,放生{0}个宠物,111,25,,1,6;110,,,2,241,,,,,,,,,,,,
761,3,,762,刷新{0}次商店,刷新{0}次商店,110,26,,1,6;110,,,1,161,,,,,,,,,,,,
762,3,,763,到达第{0}关,到达第{0}关,10,4530,,,3;47800,,,1,1,,,,,,,,,,,,
763,3,,764,精灵累计达到{0}级,精灵累计升{0}级,1,2920,,,6;20,,,2,11,,,,,,,,,,,,
764,3,,765,参加{0}次特殊副本,参加{0}次特殊副本,4,50,,1,12301;2,,,5,,,,,,,,,,,,,
765,3,,766,亲密度升级{0}次,喂养亲密度升级{0}次,114,30,,1,1;58800,,,2,21,,,,,,,,,,,,
766,3,,767,个体值洗练{0}次,个体值洗练{0}次,15,41,,1,3;48300,,,2,,,,,,,,,,,,,
767,3,,768,到达第{0}关,到达第{0}关,10,4600,,,3;48800,,,1,1,,,,,,,,,,,,
768,3,,769,精灵累计达到{0}级,精灵累计升{0}级,1,2950,,,6;20,,,2,11,,,,,,,,,,,,
769,3,,770,竞技场胜利{0}次,竞技场胜利{0}次,5,34,,1,5;50,,,9,191,,,,,,,,,,,,
770,3,,771,刷新{0}次商店,刷新{0}次商店,110,27,,1,6;110,,,1,161,,,,,,,,,,,,
771,3,,772,提升努力值{0}点,使用道具提升努力值{0}点,115,51,,1,3;49300,,,2,41,,,,,,,,,,,,
772,3,,773,到达第{0}关,到达第{0}关,10,4670,,,1;59700,,,1,1,,,,,,,,,,,,
773,3,,774,精灵累计达到{0}级,精灵累计升{0}级,1,2980,,,1;60600,,,2,11,,,,,,,,,,,,
774,3,,775,地底挑战达到{0}次,地底挑战达到{0}层,9,63,,,19001;110,,,9,,,,,,,,,,,,,
775,3,,776,升级{0}次携带品,升级{0}次携带品,116,50,,1,3;49800,,,2,71,,,,,,,,,,,,
776,3,,777,到达第{0}关,到达第{0}关,10,4740,,,3;50300,,,1,1,,,,,,,,,,,,
777,3,,778,精灵累计达到{0}级,精灵累计升{0}级,1,3010,,,6;20,,,2,11,,,,,,,,,,,,
778,3,,779,进入{0}次狩猎场,进入{0}次狩猎场,8,22,,1,1;61500,,,22,221,,,,,,,,,,,,
779,3,,780,放生{0}个宠物,放生{0}个宠物,111,25,,1,6;115,,,2,241,,,,,,,,,,,,
780,3,,781,刷新{0}次商店,刷新{0}次商店,110,28,,1,6;115,,,1,161,,,,,,,,,,,,
781,3,,782,到达第{0}关,到达第{0}关,10,4810,,,3;50900,,,1,1,,,,,,,,,,,,
782,3,,783,精灵累计达到{0}级,精灵累计升{0}级,1,3040,,,1;62400,,,2,11,,,,,,,,,,,,
783,3,,784,参加{0}次特殊副本,参加{0}次特殊副本,4,60,,1,12301;2,,,5,,,,,,,,,,,,,
784,3,,785,亲密度升级{0}次,喂养亲密度升级{0}次,114,35,,1,3;51500,,,2,21,,,,,,,,,,,,
785,3,,786,个体值洗练{0}次,个体值洗练{0}次,15,43,,1,6;20,,,2,,,,,,,,,,,,,
786,3,,787,到达第{0}关,到达第{0}关,10,4880,,,3;52100,,,1,1,,,,,,,,,,,,
787,3,,788,精灵累计达到{0}级,精灵累计升{0}级,1,3070,,,1;63300,,,2,11,,,,,,,,,,,,
788,3,,789,竞技场胜利{0}次,竞技场胜利{0}次,5,36,,1,5;50,,,9,191,,,,,,,,,,,,
789,3,,790,刷新{0}次商店,刷新{0}次商店,110,30,,1,6;115,,,1,161,,,,,,,,,,,,
790,3,,791,提升努力值{0}点,使用道具提升努力值{0}点,115,57,,1,3;52700,,,2,41,,,,,,,,,,,,
791,3,,792,到达第{0}关,到达第{0}关,10,4950,,,1;64200,,,1,1,,,,,,,,,,,,
792,3,,793,精灵累计达到{0}级,精灵累计升{0}级,1,3100,,,3;53300,,,2,11,,,,,,,,,,,,
793,3,,794,地底挑战达到{0}次,地底挑战达到{0}层,9,64,,,19001;110,,,9,,,,,,,,,,,,,
794,3,,795,升级{0}次携带品,升级{0}次携带品,116,55,,1,6;20,,,2,71,,,,,,,,,,,,
795,3,,796,到达第{0}关,到达第{0}关,10,5020,,,3;53900,,,1,1,,,,,,,,,,,,
796,3,,797,精灵累计达到{0}级,精灵累计升{0}级,1,3130,,,1;65100,,,2,11,,,,,,,,,,,,
797,3,,798,进入{0}次狩猎场,进入{0}次狩猎场,8,24,,1,1;66100,,,22,221,,,,,,,,,,,,
798,3,,799,放生{0}个宠物,放生{0}个宠物,111,25,,1,6;115,,,2,241,,,,,,,,,,,,
799,3,,800,刷新{0}次商店,刷新{0}次商店,110,32,,1,6;115,,,1,161,,,,,,,,,,,,
800,3,,801,到达第{0}关,到达第{0}关,10,5090,,,3;54500,,,1,1,,,,,,,,,,,,
801,3,,802,精灵累计达到{0}级,精灵累计升{0}级,1,3160,,,3;55100,,,2,11,,,,,,,,,,,,
802,3,,803,参加{0}次特殊副本,参加{0}次特殊副本,4,70,,1,12301;2,,,5,,,,,,,,,,,,,
803,3,,804,亲密度升级{0}次,喂养亲密度升级{0}次,114,40,,1,6;20,,,2,21,,,,,,,,,,,,
804,3,,805,个体值洗练{0}次,个体值洗练{0}次,15,45,,1,1;67100,,,2,,,,,,,,,,,,,
805,3,,806,到达第{0}关,到达第{0}关,10,5160,,,3;55700,,,1,1,,,,,,,,,,,,
806,3,,807,精灵累计达到{0}级,精灵累计升{0}级,1,3190,,,3;56300,,,2,11,,,,,,,,,,,,
807,3,,808,竞技场胜利{0}次,竞技场胜利{0}次,5,38,,1,5;50,,,9,191,,,,,,,,,,,,
808,3,,809,刷新{0}次商店,刷新{0}次商店,110,34,,1,6;120,,,1,161,,,,,,,,,,,,
809,3,,810,提升努力值{0}点,使用道具提升努力值{0}点,115,62,,1,3;56900,,,2,41,,,,,,,,,,,,
810,3,,811,到达第{0}关,到达第{0}关,10,5230,,,1;68100,,,1,1,,,,,,,,,,,,
811,3,,812,精灵累计达到{0}级,精灵累计升{0}级,1,3220,,,6;20,,,2,11,,,,,,,,,,,,
812,3,,813,地底挑战达到{0}次,地底挑战达到{0}层,9,65,,,19001;110,,,9,,,,,,,,,,,,,
813,3,,814,升级{0}次携带品,升级{0}次携带品,116,60,,1,1;69100,,,2,71,,,,,,,,,,,,
814,3,,815,到达第{0}关,到达第{0}关,10,5300,,,3;57500,,,1,1,,,,,,,,,,,,
815,3,,816,精灵累计达到{0}级,精灵累计升{0}级,1,3250,,,3;58100,,,2,11,,,,,,,,,,,,
816,3,,817,进入{0}次狩猎场,进入{0}次狩猎场,8,26,,1,1;70100,,,22,221,,,,,,,,,,,,
817,3,,818,放生{0}个宠物,放生{0}个宠物,111,25,,1,6;120,,,2,241,,,,,,,,,,,,
818,3,,819,刷新{0}次商店,刷新{0}次商店,110,36,,1,6;120,,,1,161,,,,,,,,,,,,
819,3,,820,到达第{0}关,到达第{0}关,10,5370,,,3;58700,,,1,1,,,,,,,,,,,,
820,3,,821,精灵累计达到{0}级,精灵累计升{0}级,1,3280,,,6;20,,,2,11,,,,,,,,,,,,
821,3,,822,参加{0}次特殊副本,参加{0}次特殊副本,4,80,,1,12301;2,,,5,,,,,,,,,,,,,
822,3,,823,亲密度升级{0}次,喂养亲密度升级{0}次,114,45,,1,1;71100,,,2,21,,,,,,,,,,,,
823,3,,824,个体值洗练{0}次,个体值洗练{0}次,15,47,,1,3;59300,,,2,,,,,,,,,,,,,
824,3,,825,到达第{0}关,到达第{0}关,10,5440,,,3;59900,,,1,1,,,,,,,,,,,,
825,3,,826,精灵累计达到{0}级,精灵累计升{0}级,1,3310,,,6;20,,,2,11,,,,,,,,,,,,
826,3,,827,竞技场胜利{0}次,竞技场胜利{0}次,5,40,,1,5;50,,,9,191,,,,,,,,,,,,
827,3,,828,刷新{0}次商店,刷新{0}次商店,110,38,,1,6;120,,,1,161,,,,,,,,,,,,
828,3,,829,提升努力值{0}点,使用道具提升努力值{0}点,115,67,,1,3;60500,,,2,41,,,,,,,,,,,,
829,3,,830,到达第{0}关,到达第{0}关,10,5510,,,1;72100,,,1,1,,,,,,,,,,,,
830,3,,831,精灵累计达到{0}级,精灵累计升{0}级,1,3340,,,1;73200,,,2,11,,,,,,,,,,,,
831,3,,832,地底挑战达到{0}次,地底挑战达到{0}层,9,66,,,19001;120,,,9,,,,,,,,,,,,,
832,3,,833,升级{0}次携带品,升级{0}次携带品,116,65,,1,3;61200,,,2,71,,,,,,,,,,,,
833,3,,834,到达第{0}关,到达第{0}关,10,5580,,,3;61900,,,1,1,,,,,,,,,,,,
834,3,,835,精灵累计达到{0}级,精灵累计升{0}级,1,3370,,,6;20,,,2,11,,,,,,,,,,,,
835,3,,836,进入{0}次狩猎场,进入{0}次狩猎场,8,28,,1,1;74300,,,22,221,,,,,,,,,,,,
836,3,,837,放生{0}个宠物,放生{0}个宠物,111,25,,1,6;120,,,2,241,,,,,,,,,,,,
837,3,,838,刷新{0}次商店,刷新{0}次商店,110,40,,1,6;125,,,1,161,,,,,,,,,,,,
838,3,,839,到达第{0}关,到达第{0}关,10,5650,,,3;62600,,,1,1,,,,,,,,,,,,
839,3,,840,精灵累计达到{0}级,精灵累计升{0}级,1,3400,,,1;75400,,,2,11,,,,,,,,,,,,
840,3,,841,参加{0}次特殊副本,参加{0}次特殊副本,4,90,,1,12301;2,,,5,,,,,,,,,,,,,
841,3,,842,亲密度升级{0}次,喂养亲密度升级{0}次,114,50,,1,3;63300,,,2,21,,,,,,,,,,,,
842,3,,843,个体值洗练{0}次,个体值洗练{0}次,15,49,,1,6;20,,,2,,,,,,,,,,,,,
843,3,,844,到达第{0}关,到达第{0}关,10,5720,,,3;64000,,,1,1,,,,,,,,,,,,
844,3,,845,精灵累计达到{0}级,精灵累计升{0}级,1,3430,,,1;76500,,,2,11,,,,,,,,,,,,
845,3,,846,竞技场胜利{0}次,竞技场胜利{0}次,5,42,,1,5;50,,,9,191,,,,,,,,,,,,
846,3,,847,刷新{0}次商店,刷新{0}次商店,110,42,,1,6;125,,,1,161,,,,,,,,,,,,
847,3,,848,提升努力值{0}点,使用道具提升努力值{0}点,115,72,,1,3;64700,,,2,41,,,,,,,,,,,,
848,3,,849,到达第{0}关,到达第{0}关,10,5790,,,1;77600,,,1,1,,,,,,,,,,,,
849,3,,850,精灵累计达到{0}级,精灵累计升{0}级,1,3460,,,3;65400,,,2,11,,,,,,,,,,,,
850,3,,851,地底挑战达到{0}次,地底挑战达到{0}层,9,67,,,19001;120,,,9,,,,,,,,,,,,,
851,3,,852,升级{0}次携带品,升级{0}次携带品,116,70,,1,6;20,,,2,71,,,,,,,,,,,,
852,3,,853,到达第{0}关,到达第{0}关,10,5860,,,3;66100,,,1,1,,,,,,,,,,,,
853,3,,854,精灵累计达到{0}级,精灵累计升{0}级,1,3490,,,1;78700,,,2,11,,,,,,,,,,,,
854,3,,855,进入{0}次狩猎场,进入{0}次狩猎场,8,30,,1,1;79900,,,22,221,,,,,,,,,,,,
855,3,,856,放生{0}个宠物,放生{0}个宠物,111,25,,1,6;125,,,2,241,,,,,,,,,,,,
856,3,,857,刷新{0}次商店,刷新{0}次商店,110,44,,1,6;125,,,1,161,,,,,,,,,,,,
857,3,,858,到达第{0}关,到达第{0}关,10,5930,,,3;66800,,,1,1,,,,,,,,,,,,
858,3,,859,精灵累计达到{0}级,精灵累计升{0}级,1,3520,,,3;67500,,,2,11,,,,,,,,,,,,
859,3,,860,参加{0}次特殊副本,参加{0}次特殊副本,4,100,,1,12301;2,,,5,,,,,,,,,,,,,
860,3,,861,亲密度升级{0}次,喂养亲密度升级{0}次,114,55,,1,6;20,,,2,21,,,,,,,,,,,,
861,3,,862,个体值洗练{0}次,个体值洗练{0}次,15,51,,1,1;81100,,,2,,,,,,,,,,,,,
862,3,,,到达第{0}关,到达第{0}关,10,6000,,,3;68200,,,1,1,,,,,,,,,,,,
5001,2,1,5002,高人一等,战斗力达到{0},6,30000,,,10011;1,6;50,,2,,,,,,,,,,,,,
5002,2,,5003,高人一等,战斗力达到{0},6,60000,,,10011;1,6;75,,2,,,,,,,,,,,,,
5003,2,,5004,高人一等,战斗力达到{0},6,90000,,,10011;1,6;100,,2,,,,,,,,,,,,,
5004,2,,5005,高人一等,战斗力达到{0},6,120000,,,10011;2,6;125,,2,,,,,,,,,,,,,
5005,2,,5006,高人一等,战斗力达到{0},6,150000,,,10011;2,6;150,,2,,,,,,,,,,,,,
5006,2,,5007,高人一等,战斗力达到{0},6,190000,,,10011;2,6;175,,2,,,,,,,,,,,,,
5007,2,,5008,高人一等,战斗力达到{0},6,230000,,,10011;3,6;200,,2,,,,,,,,,,,,,
5008,2,,5009,高人一等,战斗力达到{0},6,270000,,,10011;3,6;225,,2,,,,,,,,,,,,,
5009,2,,5010,高人一等,战斗力达到{0},6,310000,,,10011;3,6;250,,2,,,,,,,,,,,,,
5010,2,,5011,高人一等,战斗力达到{0},6,350000,,,10011;3,6;275,,2,,,,,,,,,,,,,
5011,2,,5012,高人一等,战斗力达到{0},6,410000,,,10011;3,6;300,,2,,,,,,,,,,,,,
5012,2,,5013,高人一等,战斗力达到{0},6,470000,,,10011;3,6;325,,2,,,,,,,,,,,,,
5013,2,,5014,高人一等,战斗力达到{0},6,530000,,,10011;4,6;350,,2,,,,,,,,,,,,,
5014,2,,5015,高人一等,战斗力达到{0},6,590000,,,10011;4,6;375,,2,,,,,,,,,,,,,
5015,2,,5016,高人一等,战斗力达到{0},6,650000,,,10011;4,6;400,,2,,,,,,,,,,,,,
5016,2,,5017,高人一等,战斗力达到{0},6,750000,,,10011;5,6;425,,2,,,,,,,,,,,,,
5017,2,,5018,高人一等,战斗力达到{0},6,850000,,,10011;5,6;450,,2,,,,,,,,,,,,,
5018,2,,5019,高人一等,战斗力达到{0},6,950000,,,10011;5,6;475,,2,,,,,,,,,,,,,
5019,2,,5020,高人一等,战斗力达到{0},6,1050000,,,10011;5,6;500,,2,,,,,,,,,,,,,
5020,2,,5021,高人一等,战斗力达到{0},6,1150000,,,10011;5,6;550,,2,,,,,,,,,,,,,
5021,2,,5022,高人一等,战斗力达到{0},6,1500000,,,10011;5,6;600,,2,,,,,,,,,,,,,
5022,2,,5023,高人一等,战斗力达到{0},6,2000000,,,10011;6,6;650,,2,,,,,,,,,,,,,
5023,2,,5024,高人一等,战斗力达到{0},6,2500000,,,10011;6,6;700,,2,,,,,,,,,,,,,
5024,2,,5025,高人一等,战斗力达到{0},6,3000000,,,10011;6,6;750,,2,,,,,,,,,,,,,
5025,2,,5026,高人一等,战斗力达到{0},6,3500000,,,10011;7,6;800,,2,,,,,,,,,,,,,
5026,2,,5027,高人一等,战斗力达到{0},6,4000000,,,10011;7,6;850,,2,,,,,,,,,,,,,
5027,2,,5028,高人一等,战斗力达到{0},6,4500000,,,10011;7,6;900,,2,,,,,,,,,,,,,
5028,2,,5029,高人一等,战斗力达到{0},6,5000000,,,10011;7,6;950,,2,,,,,,,,,,,,,
5029,2,,5030,高人一等,战斗力达到{0},6,6000000,,,10011;7,6;1000,,2,,,,,,,,,,,,,
5030,2,,5031,高人一等,战斗力达到{0},6,7000000,,,10011;7,6;1050,,2,,,,,,,,,,,,,
5031,2,,5032,高人一等,战斗力达到{0},6,8000000,,,10011;8,6;1100,,2,,,,,,,,,,,,,
5032,2,,5033,高人一等,战斗力达到{0},6,9000000,,,10011;8,6;1150,,2,,,,,,,,,,,,,
5033,2,,5034,高人一等,战斗力达到{0},6,10000000,,,10011;8,6;1200,,2,,,,,,,,,,,,,
5034,2,,5035,高人一等,战斗力达到{0},6,12000000,,,10011;9,6;1250,,2,,,,,,,,,,,,,
5035,2,,5036,高人一等,战斗力达到{0},6,14000000,,,10011;9,6;1300,,2,,,,,,,,,,,,,
5036,2,,5037,高人一等,战斗力达到{0},6,16000000,,,10011;9,6;1350,,2,,,,,,,,,,,,,
5037,2,,5038,高人一等,战斗力达到{0},6,18000000,,,10011;10,6;1400,,2,,,,,,,,,,,,,
5038,2,,,高人一等,战斗力达到{0},6,20000000,,,10011;10,6;1450,,2,,,,,,,,,,,,,
5501,2,1,5502,精灵收集者,获得{0}种不同的精灵,7,3,,,6;10,,,29,,,,,,,,,,,,,
5502,2,,5503,精灵收集者,获得{0}种不同的精灵,7,6,,,6;20,,,29,,,,,,,,,,,,,
5503,2,,5504,精灵收集者,获得{0}种不同的精灵,7,9,,,6;30,,,29,,,,,,,,,,,,,
5504,2,,5505,精灵收集者,获得{0}种不同的精灵,7,12,,,6;40,,,29,,,,,,,,,,,,,
5505,2,,5506,精灵收集者,获得{0}种不同的精灵,7,15,,,6;50,,,29,,,,,,,,,,,,,
5506,2,,5507,精灵收集者,获得{0}种不同的精灵,7,18,,,6;60,,,29,,,,,,,,,,,,,
5507,2,,5508,精灵收集者,获得{0}种不同的精灵,7,21,,,6;70,,,29,,,,,,,,,,,,,
5508,2,,5509,精灵收集者,获得{0}种不同的精灵,7,24,,,6;80,,,29,,,,,,,,,,,,,
5509,2,,5510,精灵收集者,获得{0}种不同的精灵,7,27,,,6;90,,,29,,,,,,,,,,,,,
5510,2,,5511,精灵收集者,获得{0}种不同的精灵,7,30,,,6;100,,,29,,,,,,,,,,,,,
5511,2,,5512,精灵收集者,获得{0}种不同的精灵,7,33,,,6;110,,,29,,,,,,,,,,,,,
5512,2,,5513,精灵收集者,获得{0}种不同的精灵,7,36,,,6;120,,,29,,,,,,,,,,,,,
5513,2,,5514,精灵收集者,获得{0}种不同的精灵,7,39,,,6;130,,,29,,,,,,,,,,,,,
5514,2,,5515,精灵收集者,获得{0}种不同的精灵,7,42,,,6;140,,,29,,,,,,,,,,,,,
5515,2,,5516,精灵收集者,获得{0}种不同的精灵,7,45,,,6;150,,,29,,,,,,,,,,,,,
5516,2,,5517,精灵收集者,获得{0}种不同的精灵,7,48,,,6;160,,,29,,,,,,,,,,,,,
5517,2,,5518,精灵收集者,获得{0}种不同的精灵,7,51,,,6;170,,,29,,,,,,,,,,,,,
5518,2,,5519,精灵收集者,获得{0}种不同的精灵,7,55,,,6;180,,,29,,,,,,,,,,,,,
5519,2,,5520,精灵收集者,获得{0}种不同的精灵,7,59,,,6;190,,,29,,,,,,,,,,,,,
5520,2,,5521,精灵收集者,获得{0}种不同的精灵,7,63,,,6;200,,,29,,,,,,,,,,,,,
5521,2,,5522,精灵收集者,获得{0}种不同的精灵,7,67,,,6;210,,,29,,,,,,,,,,,,,
5522,2,,5523,精灵收集者,获得{0}种不同的精灵,7,71,,,6;220,,,29,,,,,,,,,,,,,
5523,2,,5524,精灵收集者,获得{0}种不同的精灵,7,75,,,6;230,,,29,,,,,,,,,,,,,
5524,2,,5525,精灵收集者,获得{0}种不同的精灵,7,79,,,6;240,,,29,,,,,,,,,,,,,
5525,2,,5526,精灵收集者,获得{0}种不同的精灵,7,83,,,6;250,,,29,,,,,,,,,,,,,
5526,2,,5527,精灵收集者,获得{0}种不同的精灵,7,87,,,6;260,,,29,,,,,,,,,,,,,
5527,2,,5528,精灵收集者,获得{0}种不同的精灵,7,91,,,6;270,,,29,,,,,,,,,,,,,
5528,2,,5529,精灵收集者,获得{0}种不同的精灵,7,95,,,6;280,,,29,,,,,,,,,,,,,
5529,2,,5530,精灵收集者,获得{0}种不同的精灵,7,99,,,6;290,,,29,,,,,,,,,,,,,
5530,2,,5531,精灵收集者,获得{0}种不同的精灵,7,103,,,6;300,,,29,,,,,,,,,,,,,
5531,2,,5532,精灵收集者,获得{0}种不同的精灵,7,107,,,6;310,,,29,,,,,,,,,,,,,
5532,2,,5533,精灵收集者,获得{0}种不同的精灵,7,111,,,6;320,,,29,,,,,,,,,,,,,
5533,2,,5534,精灵收集者,获得{0}种不同的精灵,7,115,,,6;330,,,29,,,,,,,,,,,,,
5534,2,,5535,精灵收集者,获得{0}种不同的精灵,7,120,,,6;340,,,29,,,,,,,,,,,,,
5535,2,,5536,精灵收集者,获得{0}种不同的精灵,7,125,,,6;350,,,29,,,,,,,,,,,,,
5536,2,,5537,精灵收集者,获得{0}种不同的精灵,7,130,,,6;360,,,29,,,,,,,,,,,,,
5537,2,,5538,精灵收集者,获得{0}种不同的精灵,7,135,,,6;370,,,29,,,,,,,,,,,,,
5538,2,,5539,精灵收集者,获得{0}种不同的精灵,7,140,,,6;380,,,29,,,,,,,,,,,,,
5539,2,,5540,精灵收集者,获得{0}种不同的精灵,7,145,,,6;390,,,29,,,,,,,,,,,,,
5540,2,,5541,精灵收集者,获得{0}种不同的精灵,7,150,,,6;400,,,29,,,,,,,,,,,,,
5541,2,,5542,精灵收集者,获得{0}种不同的精灵,7,155,,,6;410,,,29,,,,,,,,,,,,,
5542,2,,5543,精灵收集者,获得{0}种不同的精灵,7,160,,,6;420,,,29,,,,,,,,,,,,,
5543,2,,5544,精灵收集者,获得{0}种不同的精灵,7,165,,,6;430,,,29,,,,,,,,,,,,,
5544,2,,5545,精灵收集者,获得{0}种不同的精灵,7,170,,,6;440,,,29,,,,,,,,,,,,,
5545,2,,5546,精灵收集者,获得{0}种不同的精灵,7,175,,,6;450,,,29,,,,,,,,,,,,,
5546,2,,5547,精灵收集者,获得{0}种不同的精灵,7,180,,,6;460,,,29,,,,,,,,,,,,,
5547,2,,5548,精灵收集者,获得{0}种不同的精灵,7,185,,,6;470,,,29,,,,,,,,,,,,,
5548,2,,5549,精灵收集者,获得{0}种不同的精灵,7,190,,,6;480,,,29,,,,,,,,,,,,,
5549,2,,5550,精灵收集者,获得{0}种不同的精灵,7,195,,,6;490,,,29,,,,,,,,,,,,,
5550,2,,,精灵收集者,获得{0}种不同的精灵,7,200,,,6;500,,,29,,,,,,,,,,,,,
6001,2,1,6002,证明之路,地底挑战战胜{0}层,9,2,,,19001;11,,,6,,,,,,,,,,,,,
6002,2,,6003,证明之路,地底挑战战胜{0}层,9,4,,,19001;14,,,6,,,,,,,,,,,,,
6003,2,,6004,证明之路,地底挑战战胜{0}层,9,6,,,19001;18,,,6,,,,,,,,,,,,,
6004,2,,6005,证明之路,地底挑战战胜{0}层,9,8,,,19001;21,,,6,,,,,,,,,,,,,
6005,2,,6006,证明之路,地底挑战战胜{0}层,9,10,,,19001;25,,,6,,,,,,,,,,,,,
6006,2,,6007,证明之路,地底挑战战胜{0}层,9,12,,,19001;28,,,6,,,,,,,,,,,,,
6007,2,,6008,证明之路,地底挑战战胜{0}层,9,14,,,19001;32,,,6,,,,,,,,,,,,,
6008,2,,6009,证明之路,地底挑战战胜{0}层,9,16,,,19001;35,,,6,,,,,,,,,,,,,
6009,2,,6010,证明之路,地底挑战战胜{0}层,9,18,,,19001;39,,,6,,,,,,,,,,,,,
6010,2,,6011,证明之路,地底挑战战胜{0}层,9,20,,,19001;42,,,6,,,,,,,,,,,,,
