天赋库ID（关联宝可梦的天赋库ID字段）,等级要求（到达了对应等级能解锁3个天赋，玩家可以3选1）,"可学习内容（主动技能ID对应宝可梦技能表，被动技能ID对应特性表，主动技能的格式为1；skillID，被动技能的格式为2；skillID; 等级(可不填,默认0)，每层都有3个，总体格式为：skilltypeID;skillID|skilltypeID;skillID|skilltypeID;skillID）",解锁消耗(道具ID;数量),克制伤害加成（此克制系数，与常量表中克制系数相加）,种族值加成,消耗宠物数量（0为不消耗）
number,number,string,string,double,number,number
talentGroupId,askLv,talentIdArray,costItem,counterDamageAddStar,alladd,count
201038,25,1;2012506|1;2022006|1;2072506,1;500000|12107;50|6;500,0.02,1,0
201038,30,2;1005;2|2;1018;2|2;1042;2,1;1000000|12107;90|6;1000,0.03,2,0
201038,35,3;900202|3;900402|3;900504,1;2000000|12107;150|6;2000,0.04,2,0
201038,40,1;2013508|1;4027008|1;2077008,1;5000000|12107;220|6;5000,0.08,3,1
201059,20,3;900101|3;900301|3;900001,1;200000|12101;20|6;200,0.01,1,0
201059,25,1;1051506|1;3165506|1;1013506,1;500000|12101;50|6;500,0.02,1,0
201059,30,2;1003;2|2;1018;2|2;1026;2,1;1000000|12101;90|6;1000,0.03,2,0
201059,35,3;900102|3;900302|3;900504,1;2000000|12101;150|6;2000,0.04,2,0
201059,40,1;3055008|1;1163508|1;1017508,1;5000000|12101;220|6;5000,0.08,3,1
201068,20,3;900101|3;900401|3;900001,1;200000|12126;20|6;200,0.01,1,0
201068,25,1;3015506|1;1163006|1;3154506,1;500000|12126;50|6;500,0.02,1,0
201068,30,2;1003;2|2;1015;2|2;1027;2,1;1000000|12126;90|6;1000,0.03,2,0
201068,35,3;900103|3;900303|3;900504,1;2000000|12126;150|6;2000,0.04,2,0
201068,40,1;1017008|1;1164008|1;3157508,1;5000000|12126;220|6;5000,0.08,3,1
201101,20,3;900201|3;900301|3;900001,1;200000|12121;20|6;200,0.01,1,0
201101,25,1;2121506|1;4174006|1;4105006,1;500000|12121;50|6;500,0.02,1,0
201101,30,2;1053;2|2;1015;2|2;1036;2,1;1000000|12121;90|6;1000,0.03,2,0
201101,35,3;900202|3;900402|3;900504,1;2000000|12121;150|6;2000,0.04,2,0
201101,40,1;2126508|1;4175008|1;2104008,1;5000000|12121;220|6;5000,0.08,3,1
201129,20,3;900101|3;900401|3;900001,1;200000|12102;20|6;200,0.01,1,0
201129,25,1;1042506|1;1165506|1;1025006,1;500000|12102;50|6;500,0.02,1,0
201129,30,2;1049;2|2;1017;2|2;1027;2,1;1000000|12102;90|6;1000,0.03,2,0
201129,35,3;900103|3;900303|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
201129,40,1;3044008|1;3167008|1;1028508,1;5000000|12102;220|6;5000,0.08,3,1
201130,20,3;900101|3;900401|3;900001,1;200000|12106;20|6;200,0.01,1,0
201130,25,1;1053506|1;3025006|1;1065006,1;500000|12106;50|6;500,0.02,1,0
201130,30,2;1012;2|2;1017;2|2;1036;2,1;1000000|12106;90|6;1000,0.03,2,0
201130,35,3;900103|3;900303|3;900504,1;2000000|12106;150|6;2000,0.04,2,0
201130,40,1;3058008|1;1022008|1;1067508,1;5000000|12106;220|6;5000,0.08,3,1
201149,20,3;900101|3;900301|3;900001,1;200000|12106;20|6;200,0.01,1,0
201149,25,1;1121506|1;1155506|1;3065006,1;500000|12106;50|6;500,0.02,1,0
201149,30,2;1029;3|2;1020;3|2;1027;3,1;1000000|12106;90|6;1000,0.03,2,0
201149,35,3;900102|3;900302|3;900504,1;2000000|12106;150|6;2000,0.04,2,0
201149,40,1;1121509|1;1158009|1;1068509,1;5000000|12106;220|6;5000,0.08,3,1
201149,45,2;1013;3|2;1021;3|2;1043;3,1;12000000|12106;320|6;12000,0.12,4,2
201149,50,3;900104|3;900304|3;900004,1;25000000|12106;500|6;25000,0.2,5,3
201208,20,3;900101|3;900301|3;900001,1;200000|12128;20|6;200,0.01,1,0
201208,25,1;1131506|1;1055506|1;3175006,1;500000|12128;50|6;500,0.02,1,0
201208,30,2;1010;2|2;1019;2|2;1042;2,1;1000000|12128;90|6;1000,0.03,2,0
201208,35,3;900102|3;900302|3;900504,1;2000000|12128;150|6;2000,0.04,2,0
201208,40,1;3135008|1;1051508|1;3174508,1;5000000|12128;220|6;5000,0.08,3,1
201334,20,3;900101|3;900401|3;900001,1;200000|12106;20|6;200,0.01,1,0
201334,25,1;3125006|1;1165006|1;1064006,1;500000|12106;50|6;500,0.02,1,0
201334,30,2;1010;2|2;1019;2|2;1027;2,1;1000000|12106;90|6;1000,0.03,2,0
201334,35,3;900103|3;900303|3;900504,1;2000000|12106;150|6;2000,0.04,2,0
201334,40,1;1121508|1;1163508|1;1062508,1;5000000|12106;220|6;5000,0.08,3,1
201376,20,3;900101|3;900301|3;900001,1;200000|12128;20|6;200,0.01,1,0
201376,25,1;1055006|1;1012006|1;1173506,1;500000|12128;50|6;500,0.02,1,0
201376,30,2;1004;3|2;1017;3|2;1026;3,1;1000000|12128;90|6;1000,0.03,2,0
201376,35,3;900102|3;900302|3;900504,1;2000000|12128;150|6;2000,0.04,2,0
201376,40,1;1053509|1;1012009|1;1173009,1;5000000|12128;220|6;5000,0.08,3,1
201376,45,2;1014;3|2;1021;3|2;1043;3,1;12000000|12128;320|6;12000,0.12,4,2
201376,50,3;900104|3;900304|3;900004,1;25000000|12128;500|6;25000,0.2,5,3
201612,20,3;900101|3;900301|3;900001,1;200000|12106;20|6;200,0.01,1,0
201612,25,1;1152506|1;3014006|1;1063506,1;500000|12106;50|6;500,0.02,1,0
201612,30,2;1012;2|2;1015;2|2;1042;2,1;1000000|12106;90|6;1000,0.03,2,0
201612,35,3;900102|3;900302|3;900504,1;2000000|12106;150|6;2000,0.04,2,0
201612,40,1;3156008|1;3018008|1;1063508,1;5000000|12106;220|6;5000,0.08,3,1
301003,20,3;900101|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
301003,25,1;1161506|1;1092006|1;4185006,1;500000|12103;50|6;500,0.02,1,0
301003,30,2;1055;3|2;1017;3|2;1044;3,1;1000000|12103;90|6;1000,0.03,2,0
301003,35,3;900102|3;900403|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
301003,40,1;1166009|1;1095009|1;2187009,1;5000000|12103;220|6;5000,0.08,3,1
301003,45,2;1014;3|2;1027;3|2;1045;3,1;12000000|12103;320|6;12000,0.12,4,2
301003,50,3;900104|3;900304|3;900004,1;25000000|12103;500|6;25000,0.2,5,3
301006,20,3;900201|3;900301|3;900001,1;200000|12101;20|6;200,0.01,1,0
301006,25,1;4065006|1;4094506|1;2125506,1;500000|12101;50|6;500,0.02,1,0
301006,30,2;1010;3|2;1018;3|2;1036;3,1;1000000|12101;90|6;1000,0.03,2,0
301006,35,3;900202|3;900402|3;900504,1;2000000|12101;150|6;2000,0.04,2,0
301006,40,1;4064509|1;2092509|1;4016509,1;5000000|12101;220|6;5000,0.08,3,1
301006,45,2;1011;3|2;1027;3|2;1045;3,1;12000000|12101;320|6;12000,0.12,4,2
301006,50,3;900204|3;900113|3;900004,1;25000000|12101;500|6;25000,0.2,5,3
301009,20,3;900201|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
301009,25,1;4154506|1;4094506|1;2022006,1;500000|12102;50|6;500,0.02,1,0
301009,30,2;1010;3|2;1015;3|2;1042;3,1;1000000|12102;90|6;1000,0.03,2,0
301009,35,3;900202|3;900402|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
301009,40,1;2157009|1;2093009|1;4024009,1;5000000|12102;220|6;5000,0.08,3,1
301009,45,2;1014;3|2;1021;3|2;1043;3,1;12000000|12102;320|6;12000,0.12,4,2
301009,50,3;900204|3;900304|3;900004,1;25000000|12102;500|6;25000,0.2,5,3
301015,20,3;900101|3;900401|3;900001,1;200000|12122;20|6;200,0.01,1,0
301015,25,1;3125506|1;1182006|1;1182006,1;500000|12122;50|6;500,0.02,1,0
301015,30,2;1037;3|2;1019;3|2;1042;3,1;1000000|12122;90|6;1000,0.03,2,0
301015,35,3;900103|3;900303|3;900504,1;2000000|12122;150|6;2000,0.04,2,0
301015,40,1;3127509|1;1183509|1;1112009,1;5000000|12122;220|6;5000,0.08,3,1
301015,45,2;1015;3|2;1026;3|2;1052;3,1;12000000|12122;320|6;12000,0.12,4,2
301015,50,3;900104|3;900404|3;900004,1;25000000|12122;500|6;25000,0.2,5,3
301018,20,3;900201|3;900301|3;900001,1;200000|12123;20|6;200,0.01,1,0
301018,25,1;4015006|1;4045506|1;1093506,1;500000|12123;50|6;500,0.02,1,0
301018,30,2;1032;3|2;1021;3|2;1042;3,1;1000000|12123;90|6;1000,0.03,2,0
301018,35,3;900202|3;900402|3;900504,1;2000000|12123;150|6;2000,0.04,2,0
301018,40,1;4014509|1;2047009|1;3096009,1;5000000|12123;220|6;5000,0.08,3,1
301018,45,2;1013;3|2;1026;3|2;1045;3,1;12000000|12123;320|6;12000,0.12,4,2
301018,50,3;900204|3;900304|3;900004,1;25000000|12123;500|6;25000,0.2,5,3
301024,20,3;900101|3;900401|3;900001,1;200000|12129;20|6;200,0.01,1,0
301024,25,1;1133506|1;1054506|1;1185006,1;500000|12129;50|6;500,0.02,1,0
301024,30,2;1006;3|2;1018;3|2;1043;3,1;1000000|12129;90|6;1000,0.03,2,0
301024,35,3;900103|3;900303|3;900504,1;2000000|12129;150|6;2000,0.04,2,0
301024,40,1;1137509|1;1054009|1;3185509,1;5000000|12129;220|6;5000,0.08,3,1
301024,45,2;1011;3|2;1021;3|2;1044;3,1;12000000|12129;320|6;12000,0.12,4,2
301024,50,3;900104|3;900404|3;900004,1;25000000|12129;500|6;25000,0.2,5,3
301026,20,3;900201|3;900401|3;900001,1;200000|12121;20|6;200,0.01,1,0
301026,25,1;2044006|1;2094006|1;1104006,1;500000|12121;50|6;500,0.02,1,0
301026,30,2;1053;2|2;1015;2|2;1026;2,1;1000000|12121;90|6;1000,0.03,2,0
301026,35,3;900203|3;900303|3;900504,1;2000000|12121;150|6;2000,0.04,2,0
301026,40,1;1048509|1;1096009|1;1102509,1;5000000|12121;220|6;5000,0.08,3,1
301026,45,2;1011;2|2;1021;2|2;1043;2,1;12000000|12121;320|6;12000,0.12,4,2
301026,50,3;900204|3;900404|3;900004,1;25000000|12121;500|6;25000,0.2,5,3
301031,20,3;900101|3;900301|3;900001,1;200000|12129;20|6;200,0.01,1,0
301031,25,1;1154506|1;3094506|1;1135006,1;500000|12129;50|6;500,0.02,1,0
301031,30,2;1055;3|2;1017;3|2;1027;3,1;1000000|12129;90|6;1000,0.03,2,0
301031,35,3;900102|3;900302|3;900504,1;2000000|12129;150|6;2000,0.04,2,0
301031,40,1;1157009|1;1097009|1;1132009,1;5000000|12129;220|6;5000,0.08,3,1
301031,45,2;1014;3|2;1027;3|2;1045;3,1;12000000|12129;320|6;12000,0.12,4,2
301031,50,3;900104|3;900304|3;900004,1;25000000|12129;500|6;25000,0.2,5,3
301034,20,3;900101|3;900301|3;900001,1;200000|12129;20|6;200,0.01,1,0
301034,25,1;1155506|1;1093506|1;1133006,1;500000|12129;50|6;500,0.02,1,0
301034,30,2;1039;3|2;1020;3|2;1027;3,1;1000000|12129;90|6;1000,0.03,2,0
301034,35,3;900102|3;900302|3;900504,1;2000000|12129;150|6;2000,0.04,2,0
301034,40,1;3156009|1;1098509|1;1132509,1;5000000|12129;220|6;5000,0.08,3,1
301034,45,2;1015;3|2;1026;3|2;1045;3,1;12000000|12129;320|6;12000,0.12,4,2
301034,50,3;900104|3;900304|3;900004,1;25000000|12129;500|6;25000,0.2,5,3
301040,20,3;900201|3;900401|3;900001,1;200000|12109;20|6;200,0.01,1,0
301040,25,1;4105006|1;2045006|1;2094506,1;500000|12109;50|6;500,0.02,1,0
301040,30,2;1010;1|2;1021;1|2;1043;1,1;1000000|12109;90|6;1000,0.03,2,0
301040,35,3;900203|3;900403|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
301040,40,1;4026509|1;2127509|1;4166009,1;5000000|12109;220|6;5000,0.08,3,1
301040,45,2;1003;3|2;1020;3|2;1032;3,1;12000000|12109;320|6;12000,0.12,4,2
301040,50,3;900204|3;900404|3;900004,1;25000000|12109;500|6;25000,0.2,5,3
301051,20,3;900101|3;900401|3;900001,1;200000|12124;20|6;200,0.01,1,0
301051,25,1;3175506|1;3114506|1;1131506,1;500000|12124;50|6;500,0.02,1,0
301051,30,2;1050;1|2;1018;1|2;1042;1,1;1000000|12124;90|6;1000,0.03,2,0
301051,35,3;900103|3;900303|3;900504,1;2000000|12124;150|6;2000,0.04,2,0
301051,40,1;1148009|1;1014509|1;3134509,1;5000000|12124;220|6;5000,0.08,3,1
301051,45,2;1013;2|2;1021;2|2;1043;2,1;12000000|12124;320|6;12000,0.12,4,2
301051,50,3;900104|3;900404|3;900004,1;25000000|12124;500|6;25000,0.2,5,3
301053,20,3;900201|3;900401|3;900001,1;200000|12109;20|6;200,0.01,1,0
301053,25,1;4104506|1;2012506|1;4095506,1;500000|12109;50|6;500,0.02,1,0
301053,30,2;1010;3|2;1020;3|2;1026;3,1;1000000|12109;90|6;1000,0.03,2,0
301053,35,3;900203|3;900302|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
301053,40,1;2108509|1;2013009|1;3186009,1;5000000|12109;220|6;5000,0.08,3,1
301053,45,2;1011;3|2;1026;3|2;1044;3,1;12000000|12109;320|6;12000,0.12,4,2
301053,50,3;900204|3;900304|3;900004,1;25000000|12109;500|6;25000,0.2,5,3
301057,20,3;900101|3;900401|3;900001,1;200000|12126;20|6;200,0.01,1,0
301057,25,1;1012506|1;1142006|1;1153006,1;500000|12126;50|6;500,0.02,1,0
301057,30,2;1010;3|2;1018;3|2;1026;3,1;1000000|12126;90|6;1000,0.03,2,0
301057,35,3;900103|3;900303|3;900504,1;2000000|12126;150|6;2000,0.04,2,0
301057,40,1;1017509|1;1144009|1;1157509,1;5000000|12126;220|6;5000,0.08,3,1
301057,45,2;1014;3|2;1021;3|2;1043;3,1;12000000|12126;320|6;12000,0.12,4,2
301057,50,3;900104|3;900404|3;900004,1;25000000|12126;500|6;25000,0.2,5,3
301065,20,3;900201|3;900401|3;900001,1;200000|12127;20|6;200,0.01,1,0
301065,25,1;2042006|1;2185006|1;2161506,1;500000|12127;50|6;500,0.02,1,0
301065,30,2;1010;3|2;1017;3|2;1026;3,1;1000000|12127;90|6;1000,0.03,2,0
301065,35,3;900203|3;900403|3;900504,1;2000000|12127;150|6;2000,0.04,2,0
301065,40,1;4046009|1;2187009|1;4167009,1;5000000|12127;220|6;5000,0.08,3,1
301065,45,2;1013;3|2;1021;3|2;1043;3,1;12000000|12127;320|6;12000,0.12,4,2
301065,50,3;900204|3;900404|3;900004,1;25000000|12127;500|6;25000,0.2,5,3
301073,20,3;900201|3;900401|3;900001,1;200000|12102;20|6;200,0.01,1,0
301073,25,1;4174006|1;2183006|1;2182506,1;500000|12102;50|6;500,0.02,1,0
301073,30,2;1033;2|2;1020;2|2;1036;2,1;1000000|12102;90|6;1000,0.03,2,0
301073,35,3;900203|3;900403|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
301073,40,1;4176509|1;2183009|1;4027009,1;5000000|12102;220|6;5000,0.08,3,1
301073,45,2;1014;2|2;1026;2|2;1052;2,1;12000000|12102;320|6;12000,0.12,4,2
301073,50,3;900204|3;900404|3;900004,1;25000000|12102;500|6;25000,0.2,5,3
301089,20,3;900101|3;900401|3;900001,1;200000|12129;20|6;200,0.01,1,0
301089,25,1;3134506|1;1144506|1;1185506,1;500000|12129;50|6;500,0.02,1,0
301089,30,2;1055;3|2;1019;3|2;1036;3,1;1000000|12129;90|6;1000,0.03,2,0
301089,35,3;900103|3;900303|3;900504,1;2000000|12129;150|6;2000,0.04,2,0
301089,40,1;3135509|1;1142009|1;1186009,1;5000000|12129;220|6;5000,0.08,3,1
301089,45,2;1014;3|2;1021;3|2;1044;3,1;12000000|12129;320|6;12000,0.12,4,2
301089,50,3;900104|3;900404|3;900004,1;25000000|12129;500|6;25000,0.2,5,3
301091,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
301091,25,1;3145006|1;1092506|1;3024506,1;500000|12102;50|6;500,0.02,1,0
301091,30,2;1046;2|2;1021;2|2;1036;2,1;1000000|12102;90|6;1000,0.03,2,0
301091,35,3;900102|3;900302|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
301091,40,1;3145009|1;1096009|1;3076509,1;5000000|12102;220|6;5000,0.08,3,1
301091,45,2;1013;2|2;1026;2|2;1045;2,1;12000000|12102;320|6;12000,0.12,4,2
301091,50,3;900104|3;900304|3;900004,1;25000000|12102;500|6;25000,0.2,5,3
301094,20,3;900201|3;900401|3;900001,1;200000|12108;20|6;200,0.01,1,0
301094,25,1;4055006|1;4164006|1;4184506,1;500000|12108;50|6;500,0.02,1,0
301094,30,2;1054;3|2;1020;3|2;1044;3,1;1000000|12108;90|6;1000,0.03,2,0
301094,35,3;900203|3;900403|3;900504,1;2000000|12108;150|6;2000,0.04,2,0
301094,40,1;4054009|1;2163009|1;2087509,1;5000000|12108;220|6;5000,0.08,3,1
301094,45,2;1011;3|2;1026;3|2;1052;3,1;12000000|12108;320|6;12000,0.12,4,2
301094,50,3;900204|3;900404|3;900004,1;25000000|12108;500|6;25000,0.2,5,3
301101,20,3;900201|3;900401|3;900001,1;200000|12121;20|6;200,0.01,1,0
301101,25,1;4045506|1;2142506|1;2101506,1;500000|12121;50|6;500,0.02,1,0
301101,30,2;1010;1|2;1018;1|2;1027;1,1;1000000|12121;90|6;1000,0.03,2,0
301101,35,3;900203|3;900403|3;900504,1;2000000|12121;150|6;2000,0.04,2,0
301101,40,1;2131509|1;2014009|1;2108009,1;5000000|12121;220|6;5000,0.08,3,1
301101,45,2;1011;3|2;1021;3|2;1043;3,1;12000000|12121;320|6;12000,0.12,4,2
301101,50,3;900204|3;900404|3;900006,1;25000000|12121;500|6;25000,0.2,5,3
301110,20,3;900101|3;900301|3;900001,1;200000|12129;20|6;200,0.01,1,0
301110,25,1;3054006|1;3125006|1;1182506,1;500000|12129;50|6;500,0.02,1,0
301110,30,2;1039;2|2;1017;2|2;1043;2,1;1000000|12129;90|6;1000,0.03,2,0
301110,35,3;900102|3;900302|3;900504,1;2000000|12129;150|6;2000,0.04,2,0
301110,40,1;2126509|1;3046009|1;1017009,1;5000000|12129;220|6;5000,0.08,3,1
301110,45,2;1034;2|2;1026;2|2;1013;4,1;12000000|12129;320|6;12000,0.12,4,2
301110,50,3;900104|3;900304|3;900004,1;25000000|12129;500|6;25000,0.2,5,3
301115,20,3;900101|3;900301|3;900001,1;200000|12109;20|6;200,0.01,1,0
301115,25,1;1155006|1;1013006|1;1094006,1;500000|12109;50|6;500,0.02,1,0
301115,30,2;1030;3|2;1020;3|2;1026;3,1;1000000|12109;90|6;1000,0.03,2,0
301115,35,3;900102|3;900302|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
301115,40,1;3154009|1;1014509|1;1097509,1;5000000|12109;220|6;5000,0.08,3,1
301115,45,2;1011;3|2;1021;3|2;1043;3,1;12000000|12109;320|6;12000,0.12,4,2
301115,50,3;900104|3;900304|3;900004,1;25000000|12109;500|6;25000,0.2,5,3
301119,20,3;900101|3;900401|3;900001,1;200000|12102;20|6;200,0.01,1,0
301119,25,1;1032006|1;1095006|1;1021506,1;500000|12102;50|6;500,0.02,1,0
301119,30,2;1049;2|2;1020;2|2;1042;2,1;1000000|12102;90|6;1000,0.03,2,0
301119,35,3;900103|3;900303|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
301119,40,1;1147509|1;1066009|1;3076009,1;5000000|12102;220|6;5000,0.08,3,1
301119,45,2;1012;2|2;1021;2|2;1028;2,1;12000000|12102;320|6;12000,0.12,4,2
301119,50,3;900104|3;900404|3;900004,1;25000000|12102;500|6;25000,0.2,5,3
301127,20,3;900101|3;900301|3;900001,1;200000|12122;20|6;200,0.01,1,0
301127,25,1;1152506|1;3124506|1;1112006,1;500000|12122;50|6;500,0.02,1,0
301127,30,2;1010;3|2;1019;3|2;1042;3,1;1000000|12122;90|6;1000,0.03,2,0
301127,35,3;900102|3;900302|3;900504,1;2000000|12122;150|6;2000,0.04,2,0
301127,40,1;1157509|1;3126009|1;1111509,1;5000000|12122;220|6;5000,0.08,3,1
301127,45,2;1013;3|2;1021;3|2;1043;3,1;12000000|12122;320|6;12000,0.12,4,2
301127,50,3;900104|3;900304|3;900004,1;25000000|12122;500|6;25000,0.2,5,3
301130,20,3;900101|3;900401|3;900001,1;200000|12102;20|6;200,0.01,1,0
301130,25,1;1063506|1;1051506|1;4125506,1;500000|12102;50|6;500,0.02,1,0
301130,30,2;1049;3|2;1020;3|2;1043;3,1;1000000|12102;90|6;1000,0.03,2,0
301130,35,3;900103|3;900303|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
301130,40,1;3065009|1;1053009|1;1052009,1;5000000|12102;220|6;5000,0.08,3,1
301130,45,2;1013;3|2;1026;3|2;1045;3,1;12000000|12102;320|6;12000,0.12,4,2
301130,50,3;900104|3;900404|3;900004,1;25000000|12102;500|6;25000,0.2,5,3
301131,20,3;900101|3;900201|3;900001,1;200000|12107;20|6;200,0.01,1,0
301131,25,1;2101506|1;2144506|1;1022506,1;500000|12107;50|6;500,0.02,1,0
301131,30,2;1034;3|2;1020;3|2;1044;3,1;1000000|12107;90|6;1000,0.03,2,0
301131,35,3;900103|3;900203|3;900504,1;2000000|12107;150|6;2000,0.04,2,0
301131,40,1;2106009|1;2147009|1;3026009,1;5000000|12107;220|6;5000,0.08,3,1
301131,45,2;1014;3|2;1027;3|2;1052;3,1;12000000|12107;320|6;12000,0.12,4,2
301131,50,3;900104|3;900204|3;900004,1;25000000|12107;500|6;25000,0.2,5,3
301132,20,3;900101|3;900301|3;900001,1;200000|12109;20|6;200,0.01,1,0
301132,25,1;3044006|1;1162006|1;1094006,1;500000|12109;50|6;500,0.02,1,0
301132,30,2;1030;3|2;1017;3|2;1036;3,1;1000000|12109;90|6;1000,0.03,2,0
301132,35,3;900102|3;900302|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
301132,40,1;1047509|1;3168009|1;3097009,1;5000000|12109;220|6;5000,0.08,3,1
301132,45,2;1013;3|2;1021;3|2;1043;3,1;12000000|12109;320|6;12000,0.12,4,2
301132,50,3;900104|3;900304|3;900004,1;25000000|12109;500|6;25000,0.2,5,3
301141,20,3;900101|3;900301|3;900001,1;200000|12125;20|6;200,0.01,1,0
301141,25,1;3114506|1;3144506|1;1025506,1;500000|12125;50|6;500,0.02,1,0
301141,30,2;1024;3|2;1018;3|2;1044;3,1;1000000|12125;90|6;1000,0.03,2,0
301141,35,3;900102|3;900302|3;900504,1;2000000|12125;150|6;2000,0.04,2,0
301141,40,1;3118509|1;1097009|1;1022509,1;5000000|12125;220|6;5000,0.08,3,1
301141,45,2;1011;3|2;1027;3|2;1045;3,1;12000000|12125;320|6;12000,0.12,4,2
301141,50,3;900104|3;900304|3;900004,1;25000000|12125;500|6;25000,0.2,5,3
301142,20,3;900101|3;900401|3;900001,1;200000|12125;20|6;200,0.01,1,0
301142,25,1;1062506|1;1055506|1;1123006,1;500000|12125;50|6;500,0.02,1,0
301142,30,2;1010;3|2;1021;3|2;1036;3,1;1000000|12125;90|6;1000,0.03,2,0
301142,35,3;900103|3;900303|3;900504,1;2000000|12125;150|6;2000,0.04,2,0
301142,40,1;1063509|1;1053509|1;1121509,1;5000000|12125;220|6;5000,0.08,3,1
301142,45,2;1011;3|2;1026;3|2;1045;3,1;12000000|12125;320|6;12000,0.12,4,2
301142,50,3;900104|3;900404|3;900004,1;25000000|12125;500|6;25000,0.2,5,3
301149,20,3;900101|3;900301|3;900001,1;200000|12106;20|6;200,0.01,1,0
301149,25,1;1105006|1;1124006|1;3124506,1;500000|12106;50|6;500,0.02,1,0
301149,30,2;1029;3|2;1015;3|2;1026;3,1;1000000|12106;90|6;1000,0.03,2,0
301149,35,3;900102|3;900302|3;900504,1;2000000|12106;150|6;2000,0.04,2,0
301149,40,1;1103509|1;1124009|1;1066009,1;5000000|12106;220|6;5000,0.08,3,1
301149,45,2;1015;3|2;1026;3|2;1045;3,1;12000000|12106;320|6;12000,0.12,4,2
301149,50,3;900104|3;900304|3;900004,1;25000000|12106;500|6;25000,0.2,5,3
301150,20,3;900209|3;900409|3;900009,1;200000|12127;20|6;200,0.01,1,0
301150,25,1;2042006|1;2053006|1;2155006,1;500000|12127;50|6;500,0.02,1,0
301150,30,2;1041;4|2;1018;4|2;1027;4,1;1000000|12127;90|6;1000,0.03,2,0
301150,35,3;900211|3;900411|3;900512,1;2000000|12127;150|6;2000,0.04,2,0
301150,40,1;2042009|1;4055509|1;2155509,1;5000000|12127;220|6;5000,0.08,3,1
301150,45,2;1014;4|2;1021;4|2;1043;4,1;12000000|12127;320|6;12000,0.12,4,2
301150,50,3;900212|3;900412|3;900012,1;25000000|12127;500|6;25000,0.2,5,3
301151,20,3;900109|3;900209|3;900009,1;200000|12127;20|6;200,0.01,1,0
301151,25,1;1122506|1;1184506|1;1072506,1;500000|12127;50|6;500,0.02,1,0
301151,30,2;1048;4|2;1017;4|2;1026;4,1;1000000|12127;90|6;1000,0.03,2,0
301151,35,3;900110|3;900211|3;900512,1;2000000|12127;150|6;2000,0.04,2,0
301151,40,1;1124509|1;1185509|1;1078009,1;5000000|12127;220|6;5000,0.08,3,1
301151,45,2;1014;4|2;1021;4|2;1043;4,1;12000000|12127;320|6;12000,0.12,4,2
301151,50,3;900112|3;900212|3;900012,1;25000000|12127;500|6;25000,0.2,5,3
301154,20,3;900201|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
301154,25,1;4184006|1;2165506|1;1034506,1;500000|12103;50|6;500,0.02,1,0
301154,30,2;1031;2|2;1015;2|2;1026;2,1;1000000|12103;90|6;1000,0.03,2,0
301154,35,3;900202|3;900402|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
301154,40,1;4184009|1;2166509|1;2037509,1;5000000|12103;220|6;5000,0.08,3,1
301154,45,2;1014;2|2;1021;2|2;1043;2,1;12000000|12103;320|6;12000,0.12,4,2
301154,50,3;900204|3;900304|3;900004,1;25000000|12103;500|6;25000,0.2,5,3
301157,20,3;900201|3;900401|3;900001,1;200000|12101;20|6;200,0.01,1,0
301157,25,1;2154506|1;2135006|1;2013006,1;500000|12101;50|6;500,0.02,1,0
301157,30,2;1010;2|2;1020;2|2;1026;2,1;1000000|12101;90|6;1000,0.03,2,0
301157,35,3;900203|3;900403|3;900504,1;2000000|12101;150|6;2000,0.04,2,0
301157,40,1;2158509|1;4137509|1;2014009,1;5000000|12101;220|6;5000,0.08,3,1
301157,45,2;1014;2|2;1021;2|2;1043;2,1;12000000|12101;320|6;12000,0.12,4,2
301157,50,3;900204|3;900404|3;900004,1;25000000|12101;500|6;25000,0.2,5,3
301160,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
301160,25,1;1055006|1;1133006|1;1023006,1;500000|12102;50|6;500,0.02,1,0
301160,30,2;1010;2|2;1017;2|2;1027;2,1;1000000|12102;90|6;1000,0.03,2,0
301160,35,3;900102|3;900302|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
301160,40,1;3055509|1;1136009|1;3028509,1;5000000|12102;220|6;5000,0.08,3,1
301160,45,2;1014;2|2;1021;2|2;1043;2,1;12000000|12102;320|6;12000,0.12,4,2
301160,50,3;900104|3;900304|3;900004,1;25000000|12102;500|6;25000,0.2,5,3
301169,20,3;900101|3;900301|3;900001,1;200000|12129;20|6;200,0.01,1,0
301169,25,1;3054006|1;1145006|1;1125506,1;500000|12129;50|6;500,0.02,1,0
