副本ID,关卡名,关卡背景资源,战斗波数,过关金币（每一关胜利的获得）,过关宝可梦经验（每一关胜利的获得）,过关主角经验（每一关胜利的获得）,"关卡可能掉落的道具，格式为 掉率,道具ID,数量|其它…",挂机获得金币，单位每分钟,挂机获得宠物经验，单位每分钟,挂机人物经验（单位：分钟）不用收取，自动获得，经验到达等级后自动升级，在线离线都增加,挂机金币上限,挂机经验上限,阵型,BOSS（1为boss，不填或0为普通）,自动战力
4300,,14,5,90000,245820,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6793,965,18037440,9781920,415,1,69600000
4301,,14,5,91800,245830,3000,"100,700105,1|100,12001,3|100,12002,8|100,10702,1",12526,6794,966,18037440,9783360,17,0,69622500
4302,,14,5,91800,245840,3000,"100,700106,1|100,12001,3|100,12002,8|100,10702,1",12526,6794,966,18037440,9783360,117,0,69645000
4303,,14,5,91800,245850,3000,"100,700107,1|100,12001,3|100,12002,8|100,10702,1",12526,6794,966,18037440,9783360,217,0,69667500
4304,,14,4,91800,245860,3000,"100,700108,1|100,12001,3|100,12002,8|100,10702,1",12526,6794,966,18037440,9783360,317,0,69690000
4305,,14,5,91800,245870,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6795,966,18037440,9784800,417,1,69712500
4306,,14,4,91800,245880,3000,"100,700205,1|100,12001,3|100,12002,8|100,10702,1",12526,6795,966,18037440,9784800,17,0,69735000
4307,,14,5,91800,245890,3000,"100,700206,1|100,12001,3|100,12002,8|100,10702,1",12526,6795,966,18037440,9784800,117,0,69757500
4308,,14,3,91800,245900,3000,"100,700207,1|100,12001,3|100,12002,8|100,10702,1",12526,6795,966,18037440,9784800,217,0,69780000
4309,,14,5,91800,245910,3000,"100,700208,1|100,12001,3|100,12002,8|100,10702,1",12526,6796,966,18037440,9786240,317,0,69802500
4310,,14,5,91800,245920,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6796,966,18037440,9786240,417,1,69825000
4311,,14,5,91800,245930,3000,"100,700305,1|100,12001,3|100,12002,8|100,10702,1",12526,6796,966,18037440,9786240,17,0,69847500
4312,,14,5,91800,245940,3000,"100,700306,1|100,12001,3|100,12002,8|100,10702,1",12526,6797,966,18037440,9787680,117,0,69870000
4313,,14,5,91800,245950,3000,"100,700307,1|100,12001,3|100,12002,8|100,10702,1",12526,6797,966,18037440,9787680,217,0,69892500
4314,,14,5,91800,245960,3000,"100,700308,1|100,12001,3|100,12002,8|100,10702,1",12526,6797,966,18037440,9787680,317,0,69915000
4315,,14,4,91800,245970,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6797,966,18037440,9787680,417,1,69937500
4316,,15,5,91800,245980,3000,"100,700405,1|100,12001,3|100,12002,8|100,10702,1",12526,6798,966,18037440,9789120,17,0,69960000
4317,,15,5,91800,245990,3000,"100,700406,1|100,12001,3|100,12002,8|100,10702,1",12526,6798,966,18037440,9789120,117,0,69982500
4318,,15,5,91800,246000,3000,"100,700407,1|100,12001,3|100,12002,8|100,10702,1",12526,6798,966,18037440,9789120,217,0,70005000
4319,,15,5,91800,246010,3000,"100,700408,1|100,12001,3|100,12002,8|100,10702,1",12526,6798,966,18037440,9789120,317,0,70027500
4320,,15,5,91800,246020,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6799,966,18037440,9790560,417,1,70050000
4321,,15,3,91800,246030,3000,"100,700105,1|100,12001,3|100,12002,8|100,10702,1",12526,6799,967,18037440,9790560,17,0,70072500
4322,,15,5,91800,246040,3000,"100,700106,1|100,12001,3|100,12002,8|100,10702,1",12526,6799,967,18037440,9790560,117,0,70095000
4323,,15,5,91800,246050,3000,"100,700107,1|100,12001,3|100,12002,8|100,10702,1",12526,6800,967,18037440,9792000,217,0,70117500
4324,,15,5,91800,246060,3000,"100,700108,1|100,12001,3|100,12002,8|100,10702,1",12526,6800,967,18037440,9792000,317,0,70140000
4325,,15,5,91800,246070,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6800,967,18037440,9792000,417,1,70162500
4326,,15,5,91800,246080,3000,"100,700205,1|100,12001,3|100,12002,8|100,10702,1",12526,6800,967,18037440,9792000,17,0,70185000
4327,,15,5,91800,246090,3000,"100,700206,1|100,12001,3|100,12002,8|100,10702,1",12526,6801,967,18037440,9793440,117,0,70207500
4328,,15,5,91800,246100,3000,"100,700207,1|100,12001,3|100,12002,8|100,10702,1",12526,6801,967,18037440,9793440,217,0,70230000
4329,,15,5,91800,246110,3000,"100,700208,1|100,12001,3|100,12002,8|100,10702,1",12526,6801,967,18037440,9793440,317,0,70252500
4330,,15,5,91800,246120,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6801,967,18037440,9793440,417,1,70275000
4331,,15,5,91800,246130,3000,"100,700305,1|100,12001,3|100,12002,8|100,10702,1",12526,6802,967,18037440,9794880,17,0,70297500
4332,,15,5,91800,246140,3000,"100,700306,1|100,12001,3|100,12002,8|100,10702,1",12526,6802,967,18037440,9794880,117,0,70320000
4333,,15,4,91800,246150,3000,"100,700307,1|100,12001,3|100,12002,8|100,10702,1",12526,6802,967,18037440,9794880,217,0,70342500
4334,,15,5,91800,246160,3000,"100,700308,1|100,12001,3|100,12002,8|100,10702,1",12526,6802,967,18037440,9794880,317,0,70365000
4335,,15,4,91800,246170,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6803,967,18037440,9796320,417,1,70387500
4336,,16,5,91800,246180,3000,"100,700405,1|100,12001,3|100,12002,8|100,10702,1",12526,6803,967,18037440,9796320,17,0,70410000
4337,,16,3,91800,246190,3000,"100,700406,1|100,12001,3|100,12002,8|100,10702,1",12526,6803,967,18037440,9796320,117,0,70432500
4338,,16,5,91800,246200,3000,"100,700407,1|100,12001,3|100,12002,8|100,10702,1",12526,6804,967,18037440,9797760,217,0,70455000
4339,,16,5,91800,246210,3000,"100,700408,1|100,12001,3|100,12002,8|100,10702,1",12526,6804,967,18037440,9797760,317,0,70477500
4340,,16,5,91800,246220,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6804,967,18037440,9797760,417,1,70500000
4341,,16,5,91800,246230,3000,"100,700105,1|100,12001,3|100,12002,8|100,10702,1",12526,6804,968,18037440,9797760,17,0,70522500
4342,,16,5,91800,246240,3000,"100,700106,1|100,12001,3|100,12002,8|100,10702,1",12526,6805,968,18037440,9799200,117,0,70545000
4343,,16,5,91800,246250,3000,"100,700107,1|100,12001,3|100,12002,8|100,10702,1",12526,6805,968,18037440,9799200,217,0,70567500
4344,,16,4,91800,246260,3000,"100,700108,1|100,12001,3|100,12002,8|100,10702,1",12526,6805,968,18037440,9799200,317,0,70590000
4345,,16,5,91800,246270,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6805,968,18037440,9799200,417,1,70612500
4346,,16,5,91800,246280,3000,"100,700205,1|100,12001,3|100,12002,8|100,10702,1",12526,6806,968,18037440,9800640,17,0,70635000
4347,,16,5,91800,246290,3000,"100,700206,1|100,12001,3|100,12002,8|100,10702,1",12526,6806,968,18037440,9800640,117,0,70657500
4348,,16,5,91800,246300,3000,"100,700207,1|100,12001,3|100,12002,8|100,10702,1",12526,6806,968,18037440,9800640,217,0,70680000
4349,,16,5,91800,246310,3000,"100,700208,1|100,12001,3|100,12002,8|100,10702,1",12526,6807,968,18037440,9802080,317,0,70702500
4350,,16,3,91800,246320,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6807,968,18037440,9802080,417,1,70725000
4351,,16,5,91800,246330,3000,"100,700305,1|100,12001,3|100,12002,8|100,10702,1",12526,6807,968,18037440,9802080,17,0,70747500
4352,,16,5,91800,246340,3000,"100,700306,1|100,12001,3|100,12002,8|100,10702,1",12526,6807,968,18037440,9802080,117,0,70770000
4353,,16,5,91800,246350,3000,"100,700307,1|100,12001,3|100,12002,8|100,10702,1",12526,6808,968,18037440,9803520,217,0,70792500
4354,,16,5,91800,246360,3000,"100,700308,1|100,12001,3|100,12002,8|100,10702,1",12526,6808,968,18037440,9803520,317,0,70815000
4355,,16,5,91800,246370,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6808,968,18037440,9803520,417,1,70837500
4356,,17,5,91800,246380,3000,"100,700405,1|100,12001,3|100,12002,8|100,10702,1",12526,6808,968,18037440,9803520,17,0,70860000
4357,,17,5,91800,246390,3000,"100,700406,1|100,12001,3|100,12002,8|100,10702,1",12526,6809,968,18037440,9804960,117,0,70882500
4358,,17,5,91800,246400,3000,"100,700407,1|100,12001,3|100,12002,8|100,10702,1",12526,6809,968,18037440,9804960,217,0,70905000
4359,,17,5,91800,246410,3000,"100,700408,1|100,12001,3|100,12002,8|100,10702,1",12526,6809,968,18037440,9804960,317,0,70927500
4360,,17,5,91800,246420,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6810,968,18037440,9806400,417,1,70950000
4361,,17,5,91800,246430,3000,"100,700105,1|100,12001,3|100,12002,8|100,10702,1",12526,6810,969,18037440,9806400,17,0,70972500
4362,,17,4,91800,246440,3000,"100,700106,1|100,12001,3|100,12002,8|100,10702,1",12526,6810,969,18037440,9806400,117,0,70995000
4363,,17,5,91800,246450,3000,"100,700107,1|100,12001,3|100,12002,8|100,10702,1",12526,6810,969,18037440,9806400,217,0,71017500
4364,,17,4,91800,246460,3000,"100,700108,1|100,12001,3|100,12002,8|100,10702,1",12526,6811,969,18037440,9807840,317,0,71040000
4365,,17,5,91800,246470,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6811,969,18037440,9807840,417,1,71062500
4366,,17,3,91800,246480,3000,"100,700205,1|100,12001,3|100,12002,8|100,10702,1",12526,6811,969,18037440,9807840,17,0,71085000
4367,,17,5,91800,246490,3000,"100,700206,1|100,12001,3|100,12002,8|100,10702,1",12526,6811,969,18037440,9807840,117,0,71107500
4368,,17,5,91800,246500,3000,"100,700207,1|100,12001,3|100,12002,8|100,10702,1",12526,6812,969,18037440,9809280,217,0,71130000
4369,,17,5,91800,246510,3000,"100,700208,1|100,12001,3|100,12002,8|100,10702,1",12526,6812,969,18037440,9809280,317,0,71152500
4370,,17,5,91800,246520,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6812,969,18037440,9809280,417,1,71175000
4371,,17,5,91800,246530,3000,"100,700305,1|100,12001,3|100,12002,8|100,10702,1",12526,6812,969,18037440,9809280,17,0,71197500
4372,,17,5,91800,246540,3000,"100,700306,1|100,12001,3|100,12002,8|100,10702,1",12526,6813,969,18037440,9810720,117,0,71220000
4373,,17,4,91800,246550,3000,"100,700307,1|100,12001,3|100,12002,8|100,10702,1",12526,6813,969,18037440,9810720,217,0,71242500
4374,,17,5,91800,246560,3000,"100,700308,1|100,12001,3|100,12002,8|100,10702,1",12526,6813,969,18037440,9810720,317,0,71265000
4375,,17,5,91800,246570,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6814,969,18037440,9812160,417,1,71287500
4376,,1,5,91800,246580,3000,"100,700405,1|100,12001,3|100,12002,8|100,10702,1",12526,6814,969,18037440,9812160,17,0,71310000
4377,,1,5,91800,246590,3000,"100,700406,1|100,12001,3|100,12002,8|100,10702,1",12526,6814,969,18037440,9812160,117,0,71332500
4378,,1,5,91800,246600,3000,"100,700407,1|100,12001,3|100,12002,8|100,10702,1",12526,6814,969,18037440,9812160,217,0,71355000
4379,,1,3,91800,246610,3000,"100,700408,1|100,12001,3|100,12002,8|100,10702,1",12526,6815,969,18037440,9813600,317,0,71377500
4380,,1,5,91800,246620,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6815,969,18037440,9813600,417,1,71400000
4381,,1,5,91800,246630,3000,"100,700105,1|100,12001,3|100,12002,8|100,10702,1",12526,6815,970,18037440,9813600,17,0,71422500
4382,,1,5,91800,246640,3000,"100,700106,1|100,12001,3|100,12002,8|100,10702,1",12526,6815,970,18037440,9813600,117,0,71445000
4383,,1,5,91800,246650,3000,"100,700107,1|100,12001,3|100,12002,8|100,10702,1",12526,6816,970,18037440,9815040,217,0,71467500
4384,,1,5,91800,246660,3000,"100,700108,1|100,12001,3|100,12002,8|100,10702,1",12526,6816,970,18037440,9815040,317,0,71490000
4385,,1,5,91800,246670,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6816,970,18037440,9815040,417,1,71512500
4386,,1,5,91800,246680,3000,"100,700205,1|100,12001,3|100,12002,8|100,10702,1",12526,6817,970,18037440,9816480,17,0,71535000
4387,,1,5,91800,246690,3000,"100,700206,1|100,12001,3|100,12002,8|100,10702,1",12526,6817,970,18037440,9816480,117,0,71557500
4388,,1,5,91800,246700,3000,"100,700207,1|100,12001,3|100,12002,8|100,10702,1",12526,6817,970,18037440,9816480,217,0,71580000
4389,,1,5,91800,246710,3000,"100,700208,1|100,12001,3|100,12002,8|100,10702,1",12526,6817,970,18037440,9816480,317,0,71602500
4390,,1,5,91800,246720,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6818,970,18037440,9817920,417,1,71625000
4391,,1,4,91800,246730,3000,"100,700305,1|100,12001,3|100,12002,8|100,10702,1",12526,6818,970,18037440,9817920,17,0,71647500
4392,,1,5,91800,246740,3000,"100,700306,1|100,12001,3|100,12002,8|100,10702,1",12526,6818,970,18037440,9817920,117,0,71670000
4393,,1,4,91800,246750,3000,"100,700307,1|100,12001,3|100,12002,8|100,10702,1",12526,6818,970,18037440,9817920,217,0,71692500
4394,,1,5,91800,246760,3000,"100,700308,1|100,12001,3|100,12002,8|100,10702,1",12526,6819,970,18037440,9819360,317,0,71715000
4395,,1,3,91800,246770,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6819,970,18037440,9819360,417,1,71737500
4396,,2,5,91800,246780,3000,"100,700405,1|100,12001,3|100,12002,8|100,10702,1",12526,6819,970,18037440,9819360,17,0,71760000
4397,,2,5,91800,246790,3000,"100,700406,1|100,12001,3|100,12002,8|100,10702,1",12526,6820,970,18037440,9820800,117,0,71782500
4398,,2,5,91800,246800,3000,"100,700407,1|100,12001,3|100,12002,8|100,10702,1",12526,6820,970,18037440,9820800,217,0,71805000
4399,,2,5,91800,246810,3000,"100,700408,1|100,12001,3|100,12002,8|100,10702,1",12526,6820,970,18037440,9820800,317,0,71827500
4400,,2,5,91800,246820,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6820,970,18037440,9820800,417,1,71850000
4401,,2,5,93600,246830,3000,"100,700105,1|100,12001,3|100,12002,8|100,10702,1",12526,6821,971,18037440,9822240,19,0,71872500
4402,,2,4,93600,246840,3000,"100,700106,1|100,12001,3|100,12002,8|100,10702,1",12526,6821,971,18037440,9822240,119,0,71895000
4403,,2,5,93600,246850,3000,"100,700107,1|100,12001,3|100,12002,8|100,10702,1",12526,6821,971,18037440,9822240,219,0,71917500
4404,,2,5,93600,246860,3000,"100,700108,1|100,12001,3|100,12002,8|100,10702,1",12526,6821,971,18037440,9822240,319,0,71940000
4405,,2,5,93600,246870,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6822,971,18037440,9823680,419,1,71962500
4406,,2,5,93600,246880,3000,"100,700205,1|100,12001,3|100,12002,8|100,10702,1",12526,6822,971,18037440,9823680,19,0,71985000
4407,,2,5,93600,246890,3000,"100,700206,1|100,12001,3|100,12002,8|100,10702,1",12526,6822,971,18037440,9823680,119,0,72007500
4408,,2,3,93600,246900,3000,"100,700207,1|100,12001,3|100,12002,8|100,10702,1",12526,6822,971,18037440,9823680,219,0,72030000
4409,,2,5,93600,246910,3000,"100,700208,1|100,12001,3|100,12002,8|100,10702,1",12526,6823,971,18037440,9825120,319,0,72052500
4410,,2,5,93600,246920,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6823,971,18037440,9825120,419,1,72075000
4411,,2,5,93600,246930,3000,"100,700305,1|100,12001,3|100,12002,8|100,10702,1",12526,6823,971,18037440,9825120,19,0,72097500
4412,,2,5,93600,246940,3000,"100,700306,1|100,12001,3|100,12002,8|100,10702,1",12526,6824,971,18037440,9826560,119,0,72120000
4413,,2,5,93600,246950,3000,"100,700307,1|100,12001,3|100,12002,8|100,10702,1",12526,6824,971,18037440,9826560,219,0,72142500
4414,,2,5,93600,246960,3000,"100,700308,1|100,12001,3|100,12002,8|100,10702,1",12526,6824,971,18037440,9826560,319,0,72165000
4415,,2,5,93600,246970,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6824,971,18037440,9826560,419,1,72187500
4416,,3,5,93600,246980,3000,"100,700405,1|100,12001,3|100,12002,8|100,10702,1",12526,6825,971,18037440,9828000,19,0,72210000
4417,,3,5,93600,246990,3000,"100,700406,1|100,12001,3|100,12002,8|100,10702,1",12526,6825,971,18037440,9828000,119,0,72232500
4418,,3,5,93600,247000,3000,"100,700407,1|100,12001,3|100,12002,8|100,10702,1",12526,6825,971,18037440,9828000,219,0,72255000
4419,,3,5,93600,247010,3000,"100,700408,1|100,12001,3|100,12002,8|100,10702,1",12526,6825,971,18037440,9828000,319,0,72277500
4420,,3,4,93600,247020,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6826,971,18037440,9829440,419,1,72300000
4421,,3,5,93600,247030,3000,"100,700105,1|100,12001,3|100,12002,8|100,10702,1",12526,6826,972,18037440,9829440,19,0,72322500
4422,,3,4,93600,247040,3000,"100,700106,1|100,12001,3|100,12002,8|100,10702,1",12526,6826,972,18037440,9829440,119,0,72345000
4423,,3,5,93600,247050,3000,"100,700107,1|100,12001,3|100,12002,8|100,10702,1",12526,6827,972,18037440,9830880,219,0,72367500
4424,,3,3,93600,247060,3000,"100,700108,1|100,12001,3|100,12002,8|100,10702,1",12526,6827,972,18037440,9830880,319,0,72390000
4425,,3,5,93600,247070,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6827,972,18037440,9830880,419,1,72412500
4426,,3,5,93600,247080,3000,"100,700205,1|100,12001,3|100,12002,8|100,10702,1",12526,6827,972,18037440,9830880,19,0,72435000
4427,,3,5,93600,247090,3000,"100,700206,1|100,12001,3|100,12002,8|100,10702,1",12526,6828,972,18037440,9832320,119,0,72457500
4428,,3,5,93600,247100,3000,"100,700207,1|100,12001,3|100,12002,8|100,10702,1",12526,6828,972,18037440,9832320,219,0,72480000
4429,,3,5,93600,247110,3000,"100,700208,1|100,12001,3|100,12002,8|100,10702,1",12526,6828,972,18037440,9832320,319,0,72502500
4430,,3,5,93600,247120,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6828,972,18037440,9832320,419,1,72525000
4431,,3,4,93600,247130,3000,"100,700305,1|100,12001,3|100,12002,8|100,10702,1",12526,6829,972,18037440,9833760,19,0,72547500
4432,,3,5,93600,247140,3000,"100,700306,1|100,12001,3|100,12002,8|100,10702,1",12526,6829,972,18037440,9833760,119,0,72570000
4433,,3,5,93600,247150,3000,"100,700307,1|100,12001,3|100,12002,8|100,10702,1",12526,6829,972,18037440,9833760,219,0,72592500
4434,,3,5,93600,247160,3000,"100,700308,1|100,12001,3|100,12002,8|100,10702,1",12526,6830,972,18037440,9835200,319,0,72615000
4435,,3,5,93600,247170,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6830,972,18037440,9835200,419,1,72637500
4436,,4,5,93600,247180,3000,"100,700405,1|100,12001,3|100,12002,8|100,10702,1",12526,6830,972,18037440,9835200,19,0,72660000
4437,,4,3,93600,247190,3000,"100,700406,1|100,12001,3|100,12002,8|100,10702,1",12526,6830,972,18037440,9835200,119,0,72682500
4438,,4,5,93600,247200,3000,"100,700407,1|100,12001,3|100,12002,8|100,10702,1",12526,6831,972,18037440,9836640,219,0,72705000
4439,,4,5,93600,247210,3000,"100,700408,1|100,12001,3|100,12002,8|100,10702,1",12526,6831,972,18037440,9836640,319,0,72727500
4440,,4,5,93600,247220,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6831,972,18037440,9836640,419,1,72750000
4441,,4,5,93600,247230,3000,"100,700105,1|100,12001,3|100,12002,8|100,10702,1",12526,6831,973,18037440,9836640,19,0,72772500
4442,,4,5,93600,247240,3000,"100,700106,1|100,12001,3|100,12002,8|100,10702,1",12526,6832,973,18037440,9838080,119,0,72795000
4443,,4,5,93600,247250,3000,"100,700107,1|100,12001,3|100,12002,8|100,10702,1",12526,6832,973,18037440,9838080,219,0,72817500
4444,,4,5,93600,247260,3000,"100,700108,1|100,12001,3|100,12002,8|100,10702,1",12526,6832,973,18037440,9838080,319,0,72840000
4445,,4,5,93600,247270,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6832,973,18037440,9838080,419,1,72862500
4446,,4,5,93600,247280,3000,"100,700205,1|100,12001,3|100,12002,8|100,10702,1",12526,6833,973,18037440,9839520,19,0,72885000
4447,,4,5,93600,247290,3000,"100,700206,1|100,12001,3|100,12002,8|100,10702,1",12526,6833,973,18037440,9839520,119,0,72907500
4448,,4,5,93600,247300,3000,"100,700207,1|100,12001,3|100,12002,8|100,10702,1",12526,6833,973,18037440,9839520,219,0,72930000
4449,,4,4,93600,247310,3000,"100,700208,1|100,12001,3|100,12002,8|100,10702,1",12526,6834,973,18037440,9840960,319,0,72952500
4450,,4,5,93600,247320,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6834,973,18037440,9840960,419,1,72975000
4451,,4,4,93600,247330,3000,"100,700305,1|100,12001,3|100,12002,8|100,10702,1",12526,6834,973,18037440,9840960,19,0,72997500
4452,,4,5,93600,247340,3000,"100,700306,1|100,12001,3|100,12002,8|100,10702,1",12526,6834,973,18037440,9840960,119,0,73020000
4453,,4,3,93600,247350,3000,"100,700307,1|100,12001,3|100,12002,8|100,10702,1",12526,6835,973,18037440,9842400,219,0,73042500
4454,,4,5,93600,247360,3000,"100,700308,1|100,12001,3|100,12002,8|100,10702,1",12526,6835,973,18037440,9842400,319,0,73065000
4455,,4,5,93600,247370,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6835,973,18037440,9842400,419,1,73087500
4456,,5,5,93600,247380,3000,"100,700405,1|100,12001,3|100,12002,8|100,10702,1",12526,6835,973,18037440,9842400,19,0,73110000
4457,,5,5,93600,247390,3000,"100,700406,1|100,12001,3|100,12002,8|100,10702,1",12526,6836,973,18037440,9843840,119,0,73132500
4458,,5,5,93600,247400,3000,"100,700407,1|100,12001,3|100,12002,8|100,10702,1",12526,6836,973,18037440,9843840,219,0,73155000
4459,,5,5,93600,247410,3000,"100,700408,1|100,12001,3|100,12002,8|100,10702,1",12526,6836,973,18037440,9843840,319,0,73177500
4460,,5,4,93600,247420,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6837,973,18037440,9845280,419,1,73200000
4461,,5,5,93600,247430,3000,"100,700105,1|100,12001,3|100,12002,8|100,10702,1",12526,6837,974,18037440,9845280,19,0,73222500
4462,,5,5,93600,247440,3000,"100,700106,1|100,12001,3|100,12002,8|100,10702,1",12526,6837,974,18037440,9845280,119,0,73245000
4463,,5,5,93600,247450,3000,"100,700107,1|100,12001,3|100,12002,8|100,10702,1",12526,6837,974,18037440,9845280,219,0,73267500
4464,,5,5,93600,247460,3000,"100,700108,1|100,12001,3|100,12002,8|100,10702,1",12526,6838,974,18037440,9846720,319,0,73290000
4465,,5,5,93600,247470,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6838,974,18037440,9846720,419,1,73312500
4466,,5,3,93600,247480,3000,"100,700205,1|100,12001,3|100,12002,8|100,10702,1",12526,6838,974,18037440,9846720,19,0,73335000
4467,,5,5,93600,247490,3000,"100,700206,1|100,12001,3|100,12002,8|100,10702,1",12526,6838,974,18037440,9846720,119,0,73357500
4468,,5,5,93600,247500,3000,"100,700207,1|100,12001,3|100,12002,8|100,10702,1",12526,6839,974,18037440,9848160,219,0,73380000
4469,,5,5,93600,247510,3000,"100,700208,1|100,12001,3|100,12002,8|100,10702,1",12526,6839,974,18037440,9848160,319,0,73402500
4470,,5,5,93600,247520,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6839,974,18037440,9848160,419,1,73425000
4471,,5,5,93600,247530,3000,"100,700305,1|100,12001,3|100,12002,8|100,10702,1",12526,6840,974,18037440,9849600,19,0,73447500
4472,,5,5,93600,247540,3000,"100,700306,1|100,12001,3|100,12002,8|100,10702,1",12526,6840,974,18037440,9849600,119,0,73470000
4473,,5,5,93600,247550,3000,"100,700307,1|100,12001,3|100,12002,8|100,10702,1",12526,6840,974,18037440,9849600,219,0,73492500
4474,,5,5,93600,247560,3000,"100,700308,1|100,12001,3|100,12002,8|100,10702,1",12526,6840,974,18037440,9849600,319,0,73515000
4475,,5,5,93600,247570,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6841,974,18037440,9851040,419,1,73537500
4476,,6,5,93600,247580,3000,"100,700405,1|100,12001,3|100,12002,8|100,10702,1",12526,6841,974,18037440,9851040,19,0,73560000
4477,,6,5,93600,247590,3000,"100,700406,1|100,12001,3|100,12002,8|100,10702,1",12526,6841,974,18037440,9851040,119,0,73582500
4478,,6,4,93600,247600,3000,"100,700407,1|100,12001,3|100,12002,8|100,10702,1",12526,6841,974,18037440,9851040,219,0,73605000
4479,,6,5,93600,247610,3000,"100,700408,1|100,12001,3|100,12002,8|100,10702,1",12526,6842,974,18037440,9852480,319,0,73627500
4480,,6,4,93600,247620,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6842,974,18037440,9852480,419,1,73650000
4481,,6,5,93600,247630,3000,"100,700105,1|100,12001,3|100,12002,8|100,10702,1",12526,6842,975,18037440,9852480,19,0,73672500
4482,,6,3,93600,247640,3000,"100,700106,1|100,12001,3|100,12002,8|100,10702,1",12526,6842,975,18037440,9852480,119,0,73695000
4483,,6,5,93600,247650,3000,"100,700107,1|100,12001,3|100,12002,8|100,10702,1",12526,6843,975,18037440,9853920,219,0,73717500
4484,,6,5,93600,247660,3000,"100,700108,1|100,12001,3|100,12002,8|100,10702,1",12526,6843,975,18037440,9853920,319,0,73740000
4485,,6,5,93600,247670,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6843,975,18037440,9853920,419,1,73762500
4486,,6,5,93600,247680,3000,"100,700205,1|100,12001,3|100,12002,8|100,10702,1",12526,6844,975,18037440,9855360,19,0,73785000
4487,,6,5,93600,247690,3000,"100,700206,1|100,12001,3|100,12002,8|100,10702,1",12526,6844,975,18037440,9855360,119,0,73807500
4488,,6,5,93600,247700,3000,"100,700207,1|100,12001,3|100,12002,8|100,10702,1",12526,6844,975,18037440,9855360,219,0,73830000
4489,,6,4,93600,247710,3000,"100,700208,1|100,12001,3|100,12002,8|100,10702,1",12526,6844,975,18037440,9855360,319,0,73852500
4490,,6,5,93600,247720,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6845,975,18037440,9856800,419,1,73875000
4491,,6,5,93600,247730,3000,"100,700305,1|100,12001,3|100,12002,8|100,10702,1",12526,6845,975,18037440,9856800,19,0,73897500
